  ,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q20 l20 aligned Count,RMHM viral q20 l30 aligned Count,RMHM viral q20 l40 aligned Count,RMHM viral q20 l50 aligned Count,RMHM viral q25 l20 aligned Count,RMHM viral q25 l30 aligned Count,RMHM viral q25 l40 aligned Count,RMHM viral q25 l50 aligned Count,RMHM viral q30 l20 aligned Count,RMHM viral q30 l30 aligned Count,RMHM viral q30 l40 aligned Count,RMHM viral q30 l50 aligned Count
HT-7481-01A-11R-2027-07+1,68356239,2045999,,,,,,,,,,,,,
HT-7482-01A-11R-2027-07+1,70458625,1930801,,,,,,,,,,,,,
HT-7483-01A-11R-2027-07+1,71085993,2263138,,,,,,,,,,,,,
HT-7485-01A-11R-2027-07+1,72524411,1941553,,,,,,,,,,,,,
HT-7601-01A-11R-2090-07+1,70116452,2227553,,,,,,,,,,,,,
HT-7602-01A-21R-2090-07+1,72083562,2387895,,,,,,,,,,,,,
HT-7603-01A-21R-2090-07+1,77065637,1918973,,,,,,,,,,,,,
HT-7604-01A-11R-2090-07+1,71662465,2023284,,,,,,,,,,,,,
HT-7605-01A-11R-2090-07+1,91813580,2456528,,,,,,,,,,,,,
HT-7606-01A-11R-2090-07+1,72090133,1966889,,,,,,,,,,,,,
HT-7607-01A-11R-2090-07+1,78199323,2151729,,,,,,,,,,,,,
HT-7608-01A-11R-2090-07+1,78324790,2800253,,,,,,,,,,,,,
HT-7609-01A-11R-2090-07+1,70019271,2205561,,,,,,,,,,,,,
HT-7610-01A-21R-2090-07+1,96297429,3300888,,,,,,,,,,,,,
HT-7611-01A-11R-2403-07+1,79138732,2349698,,,,,,,,,,,,,
HT-7616-01A-11R-2256-07+1,47551240,1528124,,,,,,,,,,,,,
HT-7620-01A-11R-2256-07+1,53793484,1693923,,,,,,,,,,,,,
HT-7676-01A-11R-2403-07+1,65007249,1947717,,,,,,,,,,,,,
HT-7677-01A-11R-2256-07+1,83574410,2605494,,,,,,,,,,,,,
HT-7680-01A-11R-2256-07+1,74504862,1880155,,,,,,,,,,,,,
HT-7681-01A-11R-2403-07+1,55198230,1808785,,,,,,,,,,,,,
HT-7684-01A-11R-2256-07+1,58009642,1494905,,,,,,,,,,,,,
HT-7686-01A-11R-2256-07+1,67663261,1881660,,,,,,,,,,,,,
HT-7687-01A-11R-2256-07+1,68956179,2303045,,,,,,,,,,,,,
HT-7688-01A-11R-2256-07+1,87864647,2763019,,,,,,,,,,,,,
HT-7689-01A-11R-2256-07+1,73666384,2376262,,,,,,,,,,,,,
HT-7690-01A-11R-2256-07+1,79974392,2303548,,,,,,,,,,,,,
HT-7691-01A-11R-2256-07+1,76340538,2067828,,,,,,,,,,,,,
HT-7692-01A-12R-2256-07+1,79628418,2726669,,,,,,,,,,,,,
HT-7693-01A-11R-2256-07+1,64302264,2164205,,,,,,,,,,,,,
HT-7694-01A-11R-2256-07+1,76811979,2552810,,,,,,,,,,,,,
HT-7695-01A-11R-2256-07+1,96945768,3418518,,,,,,,,,,,,,
HT-7854-01A-11R-2256-07+1,75373880,2997762,,,,,,,,,,,,,
HT-7855-01A-11R-2403-07+1,71285629,2550641,,,,,,,,,,,,,
HT-7856-01A-11R-2403-07+1,85201966,2275674,,,,,,,,,,,,,
HT-7857-01A-11R-2403-07+1,71262764,1835137,,,,,,,,,,,,,
HT-7858-01A-11R-2403-07+1,68501337,2396307,,,,,,,,,,,,,
HT-7860-01A-11R-2403-07+1,66750616,2391843,,,,,,,,,,,,,
HT-7873-01B-11R-2403-07+1,78756980,3389513,,,,,,,,,,,,,
HT-7874-01A-11R-2403-07+1,76873043,2564302,,,,,,,,,,,,,
HT-7875-01A-11R-2403-07+1,81078582,2757250,,,,,,,,,,,,,
HT-7877-01A-11R-2403-07+1,85476203,2748466,,,,,,,,,,,,,
HT-7879-01A-11R-2403-07+1,77183344,2108829,,,,,,,,,,,,,
HT-7880-01A-11R-2403-07+1,90978589,2795521,,,,,,,,,,,,,
HT-7881-01A-11R-2403-07+1,77526107,2611040,,,,,,,,,,,,,
HT-7882-01A-11R-2403-07+1,65988661,1958553,,,,,,,,,,,,,
HT-7884-01B-11R-2403-07+1,75157693,2734275,,,,,,,,,,,,,
HT-7902-01A-12R-2403-07+1,91993042,2970382,,,,,,,,,,,,,
HT-8010-01A-11R-2403-07+1,72296963,2521918,,,,,,,,,,,,,
HT-8011-01A-11R-2403-07+1,73493429,2212518,,,,,,,,,,,,,
HT-8012-01A-11R-2403-07+1,82477917,2912009,,,,,,,,,,,,,
HT-8013-01A-11R-2403-07+1,80650643,2174459,,,,,,,,,,,,,
HT-8015-01B-11R-A28M-07+1,58969410,2141976,,,,,,,,,,,,,
HT-8018-01A-11R-2404-07+1,76485097,2049152,,,,,,,,,,,,,
HT-8019-01A-21R-2404-07+1,72979510,2585760,,,,,,,,,,,,,
HT-8104-01A-11R-2404-07+1,79593969,2845220,,,,,,,,,,,,,
HT-8105-01A-11R-2404-07+1,74354934,3032613,,,,,,,,,,,,,
HT-8106-01A-11R-2404-07+1,75030995,2330474,,,,,,,,,,,,,
HT-8107-01A-13R-2404-07+1,80994472,3074831,,,,,,,,,,,,,
HT-8108-01A-11R-2404-07+1,68536514,2996921,,,,,,,,,,,,,
HT-8109-01A-11R-2404-07+1,72095639,3149713,,,,,,,,,,,,,
HT-8110-01A-11R-2404-07+1,68528242,2671783,,,,,,,,,,,,,
HT-8111-01A-11R-2404-07+1,74746014,2769399,,,,,,,,,,,,,
HT-8113-01A-11R-2404-07+1,60202979,2513263,,,,,,,,,,,,,
HT-8114-01A-11R-2404-07+1,111002992,3893777,,,,,,,,,,,,,
HT-8558-01A-21R-2404-07+1,73187991,2378074,,,,,,,,,,,,,
HT-8563-01A-11R-2404-07+1,73922117,2758148,,,,,,,,,,,,,
HT-8564-01A-11R-2404-07+1,68287846,3318082,,,,,,,,,,,,,
HT-A4DS-01A-11R-A26U-07+1,37095131,1252357,,,,,,,,,,,,,
HT-A4DV-01A-11R-A26U-07+1,31090765,1177659,,,,,,,,,,,,,
HT-A5R5-01A-11R-A28M-07+1,51706978,2396713,,,,,,,,,,,,,
HT-A5R7-01A-11R-A28M-07+1,53540559,1936942,,,,,,,,,,,,,
HT-A5R9-01A-11R-A28M-07+1,60016078,2212200,,,,,,,,,,,,,
HT-A5RA-01A-11R-A28M-07+1,58539214,2288006,,,,,,,,,,,,,
HT-A5RB-01A-11R-A28M-07+1,57010727,2186329,,,,,,,,,,,,,
HT-A5RC-01A-11R-A28M-07+1,54779367,2134988,,,,,,,,,,,,,
HT-A614-01A-11R-A29R-07+1,51072575,2024238,,,,,,,,,,,,,
HT-A615-01A-11R-A29R-07+1,57745706,2308795,,,,,,,,,,,,,
HT-A616-01A-11R-A29R-07+1,54646042,2244973,,,,,,,,,,,,,
HT-A617-01A-11R-A29R-07+1,53984295,2031057,,,,,,,,,,,,,
HT-A618-01A-11R-A29R-07+1,56472392,2144191,,,,,,,,,,,,,
HT-A619-01A-11R-A29R-07+1,54768377,2420734,,,,,,,,,,,,,
HT-A61A-01A-11R-A29R-07+1,55839816,2409116,,,,,,,,,,,,,
HT-A61B-01A-11R-A29R-07+1,55543880,1954659,,,,,,,,,,,,,
HT-A61C-01A-11R-A29R-07+1,59514126,2011330,,,,,,,,,,,,,
HT-A74H-01A-11R-A32Q-07+1,61946507,1419377,,,,,,,,,,,,,
HT-A74J-01A-12R-A32Q-07+1,64714895,3800042,,,,,,,,,,,,,
HT-A74K-01A-11R-A32Q-07+1,49021361,2681676,,,,,,,,,,,,,
HT-A74L-01A-11R-A32Q-07+1,77258958,2163744,,,,,,,,,,,,,
HT-A74O-01A-11R-A32Q-07+1,58421037,3224489,,,,,,,,,,,,,
HW-7486-01A-11R-2027-07+1,74132802,2081218,,,,,,,,,,,,,
HW-7487-01A-11R-2027-07+1,54585022,1574252,,,,,,,,,,,,,
HW-7489-01A-11R-2027-07+1,72265769,2197215,,,,,,,,,,,,,
HW-7490-01A-11R-2027-07+1,63305146,2496564,,,,,,,,,,,,,
HW-7491-01A-11R-2027-07+1,83351138,2293734,,,,,,,,,,,,,
HW-7493-01A-11R-2027-07+1,65592398,1633537,,,,,,,,,,,,,
HW-7495-01A-11R-2027-07+1,64228968,1965966,,,,,,,,,,,,,
HW-8319-01A-11R-2404-07+1,81073084,3174270,,,,,,,,,,,,,
HW-8320-01A-11R-2404-07+1,71879262,2416777,,,,,,,,,,,,,
HW-8321-01A-11R-2404-07+1,79678876,3098548,,,,,,,,,,,,,
HW-8322-01A-11R-2404-07+1,85702466,3280972,,,,,,,,,,,,,
HW-A5KJ-01A-12R-A27Q-07+1,67995467,2231567,,,,,,,,,,,,,
HW-A5KK-01A-11R-A27Q-07+1,67009056,1898059,,,,,,,,,,,,,
HW-A5KL-01A-11R-A27Q-07+1,68026470,1915067,,,,,,,,,,,,,
HW-A5KM-01A-11R-A27Q-07+1,87649610,2213762,,,,,,,,,,,,,
IK-7675-01A-11R-2090-07+1,77353498,2259740,,,,,,,,,,,,,
IK-8125-01A-11R-2256-07+1,88621535,3074349,,,,,,,,,,,,,
KT-A74X-01A-11R-A32Q-07+1,88003853,1972058,,,,,,,,,,,,,
KT-A7W1-01A-11R-A34F-07+1,71201128,1668036,,,,,,,,,,,,,
OX-A56R-01A-11R-A344-08+1,58930905,969776,,,,,,,,,,,,,
P5-A5ET-01A-11R-A27Q-07+1,64546728,1904172,,,,,,,,,,,,,
P5-A5EU-01A-11R-A27Q-07+1,61323166,1586916,,,,,,,,,,,,,
P5-A5EV-01A-11R-A27Q-07+1,62626314,1611234,,,,,,,,,,,,,
P5-A5EW-01A-11R-A27Q-07+1,60767304,1419078,,,,,,,,,,,,,
P5-A5EX-01A-12R-A28M-07+1,55458300,1644992,,,,,,,,,,,,,
P5-A5EY-01A-11R-A27Q-07+1,59584845,1359859,,,,,,,,,,,,,
P5-A5EZ-01A-11R-A27Q-07+1,66246734,1617017,,,,,,,,,,,,,
P5-A5F0-01A-11R-A28M-07+1,57453149,2626309,,,,,,,,,,,,,
P5-A5F1-01A-11R-A28M-07+1,52525148,1623523,,,,,,,,,,,,,
P5-A5F2-01A-11R-A28M-07+1,55888177,2110389,,,,,,,,,,,,,
P5-A5F4-01A-11R-A28M-07+1,55019334,1965594,,,,,,,,,,,,,
P5-A5F6-01A-11R-A28M-07+1,47870958,1861069,,,,,,,,,,,,,
P5-A72U-01A-31R-A32Q-07+1,60121786,3190339,,,,,,,,,,,,,
P5-A72W-01A-11R-A32Q-07+1,55198046,3421999,,,,,,,,,,,,,
P5-A72X-01A-11R-A32Q-07+1,63038177,3435179,,,,,,,,,,,,,
P5-A72Z-01A-11R-A32Q-07+1,74990661,4173935,,,,,,,,,,,,,
P5-A730-01A-11R-A32Q-07+1,55529298,1272064,,,,,,,,,,,,,
P5-A731-01A-11R-A32Q-07+1,61452630,1480655,,,,,,,,,,,,,
P5-A733-01A-11R-A32Q-07+1,70435463,1873702,,,,,,,,,,,,,
P5-A735-01A-11R-A32Q-07+1,43616903,2348715,,,,,,,,,,,,,
P5-A736-01A-11R-A32Q-07+1,55195790,2922227,,,,,,,,,,,,,
P5-A737-01A-11R-A32Q-07+1,60338880,3209520,,,,,,,,,,,,,
P5-A77W-01A-11R-A32Q-07+1,73180803,3332282,,,,,,,,,,,,,
P5-A77X-01A-11R-A32Q-07+1,69605101,2137531,,,,,,,,,,,,,
P5-A780-01A-12R-A32Q-07+1,74181119,2179056,,,,,,,,,,,,,
P5-A781-01A-11R-A32Q-07+1,68249477,1902230,,,,,,,,,,,,,
QH-A65R-01A-21R-A31N-07+1,67323603,2299377,,,,,,,,,,,,,
QH-A65S-01A-11R-A29R-07+1,47696920,1974477,,,,,,,,,,,,,
QH-A65V-01A-11R-A29R-07+1,55863073,1871133,,,,,,,,,,,,,
QH-A65X-01A-11R-A32Q-07+1,51721659,2762229,,,,,,,,,,,,,
QH-A65Z-01A-11R-A29R-07+1,57298061,2262197,,,,,,,,,,,,,
QH-A6CS-01A-11R-A31N-07+1,55540575,1390424,,,,,,,,,,,,,
QH-A6CU-01A-11R-A31N-07+1,52579762,1753687,,,,,,,,,,,,,
QH-A6CV-01A-11R-A31N-07+1,59740542,2065733,,,,,,,,,,,,,
QH-A6CW-01A-11R-A32Q-07+1,54117190,2953981,,,,,,,,,,,,,
QH-A6CX-01A-11R-A32Q-07+1,55469012,2929713,,,,,,,,,,,,,
QH-A6CY-01A-11R-A32Q-07+1,66052532,1617368,,,,,,,,,,,,,
QH-A6CZ-01A-11R-A32Q-07+1,62650132,1544621,,,,,,,,,,,,,
QH-A6X3-01A-21R-A32Q-07+1,62719019,1872994,,,,,,,,,,,,,
QH-A6X4-01A-51R-A32Q-07+1,68319405,4179725,,,,,,,,,,,,,
QH-A6X5-01A-12R-A32Q-07+1,57287533,1266376,,,,,,,,,,,,,
QH-A6X8-01A-12R-A32Q-07+1,63790124,3874346,,,,,,,,,,,,,
QH-A6X9-01A-12R-A32Q-07+1,66486698,1772549,,,,,,,,,,,,,
QH-A6XA-01A-12R-A32Q-07+1,60036500,1380366,,,,,,,,,,,,,
QH-A6XC-01A-12R-A32Q-07+1,60300495,3052112,,,,,,,,,,,,,
QH-A86X-01A-11R-A36H-07+1,96646049,2058821,,,,,,,,,,,,,
QH-A870-01A-11R-A36H-07+1,59075904,1271493,,,,,,,,,,,,,
R8-A6MK-01A-11R-A32Q-07+1,71758950,2399059,,,,,,,,,,,,,
R8-A6ML-01A-11R-A32Q-07+1,69647969,1853267,,,,,,,,,,,,,
R8-A6MO-01A-11R-A33Z-07+1,82282879,1841269,,,,,,,,,,,,,
R8-A6YH-01A-21R-A32Q-07+1,65009601,3678003,,,,,,,,,,,,,
R8-A73M-01A-11R-A32Q-07+1,46880322,2769485,,,,,,,,,,,,,
RR-A6KA-01A-21R-A344-08+1,58419390,1026204,,,,,,,,,,,,,
RR-A6KB-01A-12R-A344-08+1,46411610,1127764,,,,,,,,,,,,,
RR-A6KC-01A-31R-A344-08+1,61096750,1174495,,,,,,,,,,,,,
RY-A83X-01A-11R-A36H-07+1,75856377,1755705,,,,,,,,,,,,,
RY-A83Y-01A-11R-A36H-07+1,49472806,1079725,,,,,,,,,,,,,
RY-A83Z-01A-11R-A36H-07+1,51961003,935872,,,,,,,,,,,,,
RY-A840-01A-11R-A36H-07+1,61884108,1132038,,,,,,,,,,,,,
RY-A843-01A-11R-A36H-07+1,76370008,1687480,,,,,,,,,,,,,
RY-A845-01A-11R-A36H-07+1,68543919,1326701,,,,,,,,,,,,,
RY-A847-01A-11R-A36H-07+1,55999243,1143786,,,,,,,,,,,,,
S9-A6TS-01A-12R-A33Z-07+1,59014663,1201962,,,,,,,,,,,,,
S9-A6TU-01A-12R-A32Q-07+1,63136110,3150902,,,,,,,,,,,,,
S9-A6TV-01A-12R-A34R-07+1,81721972,1701197,,,,,,,,,,,,,
S9-A6TW-01A-12R-A32Q-07+1,61521386,1523586,,,,,,,,,,,,,
S9-A6TX-01A-21R-A32Q-07+1,68552148,4257482,,,,,,,,,,,,,
S9-A6TY-01A-12R-A32Q-07+1,66898444,2024469,,,,,,,,,,,,,
S9-A6TZ-01A-21R-A32Q-07+1,105160292,2973528,,,,,,,,,,,,,
S9-A6U0-01A-12R-A32Q-07+1,45256011,3068124,,,,,,,,,,,,,
S9-A6U1-01A-21R-A33Z-07+1,60963511,1336102,,,,,,,,,,,,,
S9-A6U2-01A-21R-A33Z-07+1,53738675,1196744,,,,,,,,,,,,,
S9-A6U5-01A-12R-A33Z-07+1,63080710,1360381,,,,,,,,,,,,,
S9-A6U6-01A-12R-A33Z-07+1,62537641,1383083,,,,,,,,,,,,,
S9-A6U8-01A-21R-A33Z-07+1,72765241,1549981,,,,,,,,,,,,,
S9-A6U9-01A-11R-A32Q-07+1,61231230,3376264,,,,,,,,,,,,,
S9-A6UA-01A-12R-A33Z-07+1,68838530,1450289,,,,,,,,,,,,,
S9-A6UB-01A-21R-A33Z-07+1,52594053,1214515,,,,,,,,,,,,,
S9-A6WD-01A-12R-A33Z-07+1,64046306,1599870,,,,,,,,,,,,,
S9-A6WE-01A-12R-A33Z-07+1,54552172,1124887,,,,,,,,,,,,,
S9-A6WG-01A-11R-A33Z-07+1,55521928,1274858,,,,,,,,,,,,,
S9-A6WH-01A-12R-A33Z-07+1,45531469,970878,,,,,,,,,,,,,
S9-A6WI-01A-21R-A33Z-07+1,79204652,1514369,,,,,,,,,,,,,
S9-A6WL-01A-21R-A33Z-07+1,55614278,1300511,,,,,,,,,,,,,
S9-A6WM-01A-12R-A33Z-07+1,42976526,897348,,,,,,,,,,,,,
S9-A6WN-01A-12R-A33Z-07+1,57025497,1205593,,,,,,,,,,,,,
S9-A6WO-01A-21R-A34F-07+1,57330939,1292581,,,,,,,,,,,,,
S9-A6WP-01A-12R-A34F-07+1,72570665,1510102,,,,,,,,,,,,,
S9-A6WQ-01A-12R-A34F-07+1,63790893,1333296,,,,,,,,,,,,,
S9-A7IQ-01A-21R-A34F-07+1,74715063,1716083,,,,,,,,,,,,,
S9-A7IS-01A-11R-A34F-07+1,73809373,1504761,,,,,,,,,,,,,
S9-A7IX-01A-12R-A34F-07+1,75641678,1688753,,,,,,,,,,,,,
S9-A7IY-01A-11R-A34F-07+1,62649048,1380787,,,,,,,,,,,,,
S9-A7IZ-01A-11R-A34F-07+1,62185367,1417787,,,,,,,,,,,,,
S9-A7J0-01A-11R-A34F-07+1,73448530,1759656,,,,,,,,,,,,,
S9-A7J1-01A-21R-A34R-07+1,52985184,1338590,,,,,,,,,,,,,
S9-A7J2-01A-11R-A34F-07+1,65721084,1527464,,,,,,,,,,,,,
S9-A7J3-01A-21R-A34R-07+1,88551744,2161814,,,,,,,,,,,,,
S9-A7QW-01A-11R-A34F-07+1,59035601,1371906,,,,,,,,,,,,,
S9-A7QX-01A-11R-A34F-07+1,61048482,1364696,,,,,,,,,,,,,
S9-A7QY-01A-11R-A34F-07+1,66235809,1600354,,,,,,,,,,,,,
S9-A7QZ-01A-12R-A34R-07+1,68565762,1648684,,,,,,,,,,,,,
S9-A7R1-01A-12R-A34R-07+1,53233131,1208364,,,,,,,,,,,,,
S9-A7R2-01A-21R-A34R-07+1,54505300,1201445,,,,,,,,,,,,,
S9-A7R3-01A-11R-A34R-07+1,55448451,1203474,,,,,,,,,,,,,
S9-A7R4-01A-12R-A34R-07+1,59704599,1772696,,,,,,,,,,,,,
S9-A7R7-01A-11R-A34R-07+1,44731030,1267511,,,,,,,,,,,,,
S9-A7R8-01A-11R-A34R-07+1,52915730,1652039,,,,,,,,,,,,,
S9-A89V-01A-11R-A36H-07+1,61910404,1393008,,,,,,,,,,,,,
S9-A89Z-01A-11R-A36H-07+1,50980460,946861,,,,,,,,,,,,,
TM-A7C3-01A-11R-A32Q-07+1,60217930,2166071,,,,,,,,,,,,,
TM-A7C4-01A-11R-A32Q-07+1,55799129,1403037,,,,,,,,,,,,,
TM-A7C5-01A-11R-A32Q-07+1,46385578,1312686,,,,,,,,,,,,,
TM-A7CA-01A-21R-A33Z-07+1,56753201,1250458,,,,,,,,,,,,,
TM-A7CF-01A-11R-A32Q-07+1,57191621,3303866,,,,,,,,,,,,,
TM-A7CF-02A-11R-A32Q-07+1,60320860,3542575,,,,,,,,,,,,,
TM-A84B-01A-11R-A36H-07+1,78743357,1617253,,,,,,,,,,,,,
TM-A84C-01A-11R-A36H-07+1,77132440,1384587,,,,,,,,,,,,,
TM-A84F-01A-11R-A36H-07+1,53257536,1040006,,,,,,,,,,,,,
TM-A84G-01A-11R-A36H-07+1,62949293,1304134,,,,,,,,,,,,,
TM-A84H-01A-11R-A36H-07+1,73734507,1932322,,,,,,,,,,,,,
TM-A84I-01A-11R-A36H-07+1,64896123,1381482,,,,,,,,,,,,,
TM-A84J-01A-11R-A36H-07+1,56746700,1133792,,,,,,,,,,,,,
TM-A84L-01A-11R-A36H-07+1,56743439,1205121,,,,,,,,,,,,,
TM-A84M-01A-11R-A36H-07+1,60647650,1380815,,,,,,,,,,,,,
TM-A84O-01A-11R-A36H-07+1,58361190,1145659,,,,,,,,,,,,,
TM-A84Q-01A-11R-A36H-07+1,71193944,1316195,,,,,,,,,,,,,
TM-A84R-01A-21R-A36H-07+1,65116338,1288121,,,,,,,,,,,,,
TM-A84S-01A-11R-A36H-07+1,60623034,1100574,,,,,,,,,,,,,
TM-A84T-01A-11R-A36H-07+1,60779819,1318830,,,,,,,,,,,,,
TQ-A7RF-01A-11R-A33Z-07+1,53680257,1260615,,,,,,,,,,,,,
TQ-A7RG-01A-11R-A33Z-07+1,51430477,1135695,,,,,,,,,,,,,
TQ-A7RH-01A-12R-A34F-07+1,71477259,1846533,,,,,,,,,,,,,
TQ-A7RI-01A-11R-A33Z-07+1,63297466,1437055,,,,,,,,,,,,,
TQ-A7RJ-01A-11R-A33Z-07+1,74356885,1679186,,,,,,,,,,,,,
TQ-A7RK-01A-11R-A33Z-07+1,59574965,1442803,,,,,,,,,,,,,
TQ-A7RK-02A-11R-A36H-07+1,64541787,1524567,,,,,,,,,,,,,
TQ-A7RK-02B-11R-A40A-07+1,48972232,1187670,,,,,,,,,,,,,
TQ-A7RM-01A-11R-A33Z-07+1,87625429,2062046,,,,,,,,,,,,,
TQ-A7RN-01A-11R-A33Z-07+1,82758205,2222899,,,,,,,,,,,,,
TQ-A7RO-01A-11R-A33Z-07+1,54796415,1260632,,,,,,,,,,,,,
TQ-A7RP-01A-21R-A34F-07+1,76953669,1649787,,,,,,,,,,,,,
TQ-A7RQ-01A-11R-A33Z-07+1,78994740,1949784,,,,,,,,,,,,,
TQ-A7RR-01A-21R-A34F-07+1,61888285,1545599,,,,,,,,,,,,,
TQ-A7RS-01A-12R-A33Z-07+1,66044180,1469514,,,,,,,,,,,,,
TQ-A7RU-01A-21R-A34F-07+1,59438640,1505711,,,,,,,,,,,,,
TQ-A7RV-01A-21R-A34F-07+1,68901537,1672653,,,,,,,,,,,,,
TQ-A7RV-02A-11R-A36H-07+1,57905660,1263120,,,,,,,,,,,,,
TQ-A7RW-01A-11R-A33Z-07+1,50015552,1252897,,,,,,,,,,,,,
TQ-A8XE-01A-11R-A36H-07+1,68053093,1608481,,,,,,,,,,,,,
TQ-A8XE-02A-11R-A36H-07+1,59170669,1368055,,,,,,,,,,,,,
VM-A8C8-01A-11R-A36H-07+1,49408707,841952,,,,,,,,,,,,,
VM-A8C9-01A-11R-A36H-07+1,46949345,818837,,,,,,,,,,,,,
VM-A8CA-01A-11R-A36H-07+1,53111106,978467,,,,,,,,,,,,,
VM-A8CB-01A-11R-A36H-07+1,48384802,931295,,,,,,,,,,,,,
VM-A8CD-01A-11R-A36H-07+1,76960182,1596029,,,,,,,,,,,,,
VM-A8CE-01A-11R-A36H-07+1,65100023,1374584,,,,,,,,,,,,,
VM-A8CF-01A-11R-A36H-07+1,38464474,808401,,,,,,,,,,,,,
VM-A8CH-01A-12R-A36H-07+1,55240721,1198297,,,,,,,,,,,,,
VV-A829-01A-21R-A36H-07+1,61472547,1171698,,,,,,,,,,,,,
VV-A86M-01A-11R-A36H-07+1,46121425,1191802,,,,,,,,,,,,,
VW-A7QS-01A-12R-A33Z-07+1,64856200,1571396,,,,,,,,,,,,,
VW-A8FI-01A-11R-A36H-07+1,48573167,1078571,,,,,,,,,,,,,
W9-A837-01A-11R-A36H-07+1,70005405,1359668,,,,,,,,,,,,,
WH-A86K-01A-11R-A36H-07+1,52154392,1037126,,,,,,,,,,,,,
WY-A858-01A-11R-A36H-07+1,55908762,1335984,,,,,,,,,,,,,
WY-A859-01A-12R-A36H-07+1,77073424,1613580,,,,,,,,,,,,,
WY-A85A-01A-21R-A36H-07+1,52202884,1013824,,,,,,,,,,,,,
WY-A85B-01A-11R-A36H-07+1,58997942,1231607,,,,,,,,,,,,,
WY-A85C-01A-11R-A36H-07+1,73482055,1643407,,,,,,,,,,,,,
WY-A85D-01A-11R-A36H-07+1,53082153,1131566,,,,,,,,,,,,,
WY-A85E-01A-11R-A36H-07+1,69764280,1673291,,,,,,,,,,,,,
