  ,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q20 l20 aligned Count,RMHM viral q20 l30 aligned Count,RMHM viral q20 l40 aligned Count,RMHM viral q20 l50 aligned Count,RMHM viral q25 l20 aligned Count,RMHM viral q25 l30 aligned Count,RMHM viral q25 l40 aligned Count,RMHM viral q25 l50 aligned Count,RMHM viral q30 l20 aligned Count,RMHM viral q30 l30 aligned Count,RMHM viral q30 l40 aligned Count,RMHM viral q30 l50 aligned Count
06-2563-01A-01R-1849-01+2,43659284,2026300,584389,,,,,,,,,,,,
06-2564-01A-01R-1849-01+1,45561408,981697,78499,,,,,,,,,,,,
06-2564-01A-01R-1849-01+2,66945097,1658800,171485,,,,,,,,,,,,
06-2565-01A-01R-1849-01+1,66265904,2099201,360011,,,,,,,,,,,,
06-2565-01A-01R-1849-01+2,46636480,1392885,256196,,,,,,,,,,,,
06-2567-01A-01R-1849-01+1,67306985,2185054,456208,,,,,,,,,,,,
06-2567-01A-01R-1849-01+2,47358772,1384491,273043,,,,,,,,,,,,
06-2569-01A-01R-1849-01+1,62795017,2424964,555511,,,,,,,,,,,,
06-2569-01A-01R-1849-01+2,43777557,1803977,451412,,,,,,,,,,,,
06-2570-01A-01R-1849-01+1,65207143,2512528,541696,,,,,,,,,,,,
06-2570-01A-01R-1849-01+2,45796660,1861905,434937,,,,,,,,,,,,
06-5408-01A-01R-1849-01+1,41685452,1079398,145410,,,,,,,,,,,,
06-5408-01A-01R-1849-01+2,65802455,2007137,265747,,,,,,,,,,,,
06-5410-01A-01R-1849-01+1,40538225,935301,65225,,,,,,,,,,,,
06-5410-01A-01R-1849-01+2,71819506,1991744,199210,,,,,,,,,,,,
06-5411-01A-01R-1849-01+1,70904114,1897002,187831,,,,,,,,,,,,
06-5411-01A-01R-1849-01+2,42716979,914952,62611,,,,,,,,,,,,
06-5412-01A-01R-1849-01+1,38416453,870194,75749,,,,,,,,,,,,
06-5412-01A-01R-1849-01+2,64844004,1801172,195003,,,,,,,,,,,,
06-5413-01A-01R-1849-01+1,63671587,1840100,209393,,,,,,,,,,,,
06-5413-01A-01R-1849-01+2,39283124,929327,70902,,,,,,,,,,,,
06-5414-01A-01R-1849-01+1,47592152,892549,81926,,,,,,,,,,,,
06-5414-01A-01R-1849-01+2,73684643,1649379,188768,,,,,,,,,,,,
06-5415-01A-01R-1849-01+1,120494158,10330353,4178008,,,,,,,,,,,,
06-5415-01A-01R-1849-01+2,61938478,8637594,3755551,,,,,,,,,,,,
06-5416-01A-01R-1849-01+1,45839003,3406763,950706,,,,,,,,,,,,
06-5416-01A-01R-1849-01+2,64681662,4123136,1096495,,,,,,,,,,,,
06-5417-01A-01R-1849-01+1,48791241,7776312,3205467,,,,,,,,,,,,
06-5417-01A-01R-1849-01+2,61937441,8162293,3339301,,,,,,,,,,,,
06-5418-01A-01R-1849-01+1,67663034,1753015,418754,,,,,,,,,,,,
06-5418-01A-01R-1849-01+2,43390212,1089744,311211,,,,,,,,,,,,
06-5856-01A-01R-1849-01+1,39876763,987739,140348,,,,,,,,,,,,
06-5856-01A-01R-1849-01+2,64133691,1899009,254533,,,,,,,,,,,,
06-5858-01A-01R-1849-01+1,40281206,881926,62637,,,,,,,,,,,,
06-5858-01A-01R-1849-01+2,63861309,1763256,170516,,,,,,,,,,,,
06-5859-01A-01R-1849-01+1,40444394,849040,58599,,,,,,,,,,,,
06-5859-01A-01R-1849-01+2,67384804,1793515,175680,,,,,,,,,,,,
06-A5U0-01A-11R-A344-08+1,59487717,1187288,35422,,,,,,,,,,,,
06-A5U1-01A-11R-A344-08+1,64829390,1322159,39000,,,,,,,,,,,,
06-A6S0-01A-11R-A344-08+1,63451632,1233768,36733,,,,,,,,,,,,
06-A6S1-01A-11R-A344-08+1,60352947,1394263,36212,,,,,,,,,,,,
06-A7TK-01A-21R-A39C-08+1,51526745,1206959,29522,,,,,,,,,,,,
06-A7TL-01A-11R-A39C-08+1,32465502,783884,18582,,,,,,,,,,,,
06-AABW-11A-31R-A36H-07+1,55420464,1305394,18968,,,,,,,,,,,,
08-0386-01A-01R-1849-01+1,42042725,827958,101999,,,,,,,,,,,,
08-0386-01A-01R-1849-01+2,61211188,1410908,198838,,,,,,,,,,,,
12-0616-01A-01R-1849-01+1,60581390,4044887,996899,,,,,,,,,,,,
12-0616-01A-01R-1849-01+2,38847358,3065429,806917,,,,,,,,,,,,
12-0618-01A-01R-1849-01+1,50250557,892267,68416,,,,,,,,,,,,
12-0618-01A-01R-1849-01+2,74632005,1615067,185887,,,,,,,,,,,,
12-0619-01A-01R-1849-01+1,46419592,1401460,311153,,,,,,,,,,,,
12-0619-01A-01R-1849-01+2,70742308,2156156,442959,,,,,,,,,,,,
12-0821-01A-01R-1849-01+1,81082632,3129394,588298,,,,,,,,,,,,
12-0821-01A-01R-1849-01+2,55734045,2256594,437796,,,,,,,,,,,,
12-1597-01B-01R-1849-01+1,39808181,1754592,475229,,,,,,,,,,,,
12-1597-01B-01R-1849-01+2,68871338,2471623,601893,,,,,,,,,,,,
12-3650-01A-01R-1849-01+1,50374713,3487875,1335554,,,,,,,,,,,,
12-3650-01A-01R-1849-01+2,35867487,2987827,1198774,,,,,,,,,,,,
12-3652-01A-01R-1849-01+1,39713182,1697479,579324,,,,,,,,,,,,
12-3652-01A-01R-1849-01+2,62264508,2347467,709923,,,,,,,,,,,,
12-3653-01A-01R-1849-01+1,50772638,4878309,1826291,,,,,,,,,,,,
12-3653-01A-01R-1849-01+2,70194984,5511706,1988194,,,,,,,,,,,,
12-5295-01A-01R-1849-01+1,42225178,2904491,1008486,,,,,,,,,,,,
12-5295-01A-01R-1849-01+2,65418422,3562402,1143977,,,,,,,,,,,,
12-5299-01A-02R-1849-01+1,70386823,1617903,306754,,,,,,,,,,,,
12-5299-01A-02R-1849-01+2,43898092,890868,195816,,,,,,,,,,,,
14-0736-02A-01R-2005-01+1,39304008,2282857,645778,,,,,,,,,,,,
14-0736-02A-01R-2005-01+2,26275936,1814971,550095,,,,,,,,,,,,
14-0781-01B-01R-1849-01+1,73674027,2023636,205579,,,,,,,,,,,,
14-0781-01B-01R-1849-01+2,41377249,961613,69516,,,,,,,,,,,,
14-0787-01A-01R-1849-01+1,52570129,3333024,1103713,,,,,,,,,,,,
14-0787-01A-01R-1849-01+2,38565388,2834559,998649,,,,,,,,,,,,
14-0789-01A-01R-1849-01+1,43823900,5045746,1478988,,,,,,,,,,,,
14-0789-01A-01R-1849-01+2,61884281,5715242,1605719,,,,,,,,,,,,
14-0790-01B-01R-1849-01+1,40470088,3450716,1552366,,,,,,,,,,,,
14-0790-01B-01R-1849-01+2,57597213,4217528,1719309,,,,,,,,,,,,
14-0817-01A-01R-1849-01+1,75980184,6885118,2478512,,,,,,,,,,,,
14-0817-01A-01R-1849-01+2,48836321,6004169,2290773,,,,,,,,,,,,
14-0871-01A-01R-1849-01+1,50523837,15234879,7025088,,,,,,,,,,,,
14-0871-01A-01R-1849-01+2,40017352,14242126,6686797,,,,,,,,,,,,
14-1034-01A-01R-1849-01+1,32665402,993270,200088,,,,,,,,,,,,
14-1034-01A-01R-1849-01+2,45860828,1501744,275556,,,,,,,,,,,,
14-1034-02B-01R-2005-01+1,43403247,5849632,2241456,,,,,,,,,,,,
14-1034-02B-01R-2005-01+2,59032122,6615695,2453889,,,,,,,,,,,,
14-1402-02A-01R-2005-01+1,57447306,3419473,983079,,,,,,,,,,,,
