project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	spectrophotometer_method	state	well_number
TARGET-ALL-P2	0fc56d2b-c72b-5b7d-9699-9cd3ebb5867a	TARGET-10-PAPCUR	3c2a2d0b-d4fa-57e5-8945-8eb88688f0dd	TARGET-10-PAPCUR-09A	5b7e7990-fbad-51dd-ab04-445549b9afdc	'--	a7834ed4-cb9b-5053-939b-e57c82f34c28	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	0fc56d2b-c72b-5b7d-9699-9cd3ebb5867a	TARGET-10-PAPCUR	3c2a2d0b-d4fa-57e5-8945-8eb88688f0dd	TARGET-10-PAPCUR-09A	271c6c7c-b81b-5d48-bc2f-9e927b764c41	'--	ab7de2f1-403f-5a69-8e26-f4cdead00ce4	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	0fc56d2b-c72b-5b7d-9699-9cd3ebb5867a	TARGET-10-PAPCUR	3c2a2d0b-d4fa-57e5-8945-8eb88688f0dd	TARGET-10-PAPCUR-09A	0df304d6-feea-5ffa-8720-c08a12b7ac12	'--	e0e47d87-403c-5553-9d23-660dfda29b10	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	0fc56d2b-c72b-5b7d-9699-9cd3ebb5867a	TARGET-10-PAPCUR	9742ba04-7cb4-5ac3-9cf2-d25855e13251	TARGET-10-PAPCUR-10A	5affc5bc-5b53-5783-a143-4015f05b7f39	'--	72cfbdeb-b430-52e6-9696-aaa5ae376072	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	0fc56d2b-c72b-5b7d-9699-9cd3ebb5867a	TARGET-10-PAPCUR	85283a2d-c101-5e3e-a69a-34e71ab0baec	TARGET-10-PAPCUR-14A	6a19b5b4-67f2-506d-ab99-56a9ca38484e	'--	13dbb8d7-eb6d-5bb2-90cc-7fb184379e67	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	3b834db3-85aa-519b-8a38-30ecfde3532e	TARGET-10-PATPWF	4330ce83-8b76-5d38-8513-28e914320215	TARGET-10-PATPWF-10A	50a87a0d-b366-563c-8c41-81598827906e	'--	1d985219-7fca-5a75-9150-91a349d3a139	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	3b834db3-85aa-519b-8a38-30ecfde3532e	TARGET-10-PATPWF	ea7d4c51-000a-5206-a937-4532ec16ebfa	TARGET-10-PATPWF-03A	4aa4babb-1e37-5db5-84c4-96ae21150c34	'--	ece6184b-fb5b-5702-8c35-d49a5991a031	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	3b834db3-85aa-519b-8a38-30ecfde3532e	TARGET-10-PATPWF	ea7d4c51-000a-5206-a937-4532ec16ebfa	TARGET-10-PATPWF-03A	311cae6d-d3e2-5977-81ca-14d4e4d8727e	'--	88bd02a8-921c-53b0-89f3-43af58af6f7c	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	e5be3728-56e0-5e63-8c81-6da2884a20ff	TARGET-10-PATCUK	44d7e5b2-ef7b-5198-97ac-bc44a9147227	TARGET-10-PATCUK-09A	a43efa04-2e1c-5944-a850-7136ba1a8cf8	'--	d8c62086-4645-56ef-9f6e-0eb20350e2e2	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	e5be3728-56e0-5e63-8c81-6da2884a20ff	TARGET-10-PATCUK	44d7e5b2-ef7b-5198-97ac-bc44a9147227	TARGET-10-PATCUK-09A	a6922586-2db3-574a-a170-6ae47b129bf9	'--	85937e94-ff5e-5d63-a13a-1e82e640f5f4	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
TARGET-ALL-P2	e5be3728-56e0-5e63-8c81-6da2884a20ff	TARGET-10-PATCUK	72d588e3-bab2-5869-9c0c-d18b6f67b02d	TARGET-10-PATCUK-14A	7f47063a-8b3d-523e-95e6-09f2ce68d907	'--	520df4ac-f0af-5d4b-8507-0ea306fc6970	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
