  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
SRR1339968,51459053,47707325,92.70,94163292,98.68
SRR1340095,40839175,31540304,77.23,61699137,97.80
SRR1340133,39579182,35580649,89.89,70442797,98.99
SRR1340202,40228137,37559092,93.36,74285062,98.89
SRR1340301,32656815,29164308,89.30,57658011,98.85
SRR1340420,35514926,31735415,89.35,62524058,98.50
SRR1340463,44663164,39202218,87.77,77407536,98.72
SRR1340508,145018970,131789347,90.87,261223968,99.10
SRR1340700,100677272,96714977,96.06,191291173,98.89
SRR1340907,35618163,32460616,91.13,63883006,98.40
SRR1341008,43378240,39384916,90.79,77864434,98.85
SRR1341057,37837092,35353775,93.43,69530328,98.33
SRR1341277,42037888,38636335,91.90,76326766,98.77
SRR1341365,36577725,34418690,94.09,67852390,98.56
SRR1341387,36311967,34114308,93.94,67170003,98.44
SRR1341521,42446538,36568699,86.15,72450352,99.06
SRR1341605,47394172,42015714,88.65,82749005,98.47
SRR1341702,35816901,31832887,88.87,62893610,98.78
SRR1341763,55906928,45188315,80.82,89018664,98.49
SRR1341898,44088862,41082521,93.18,81271141,98.91
SRR1342045,44376208,34579467,77.92,68276565,98.72
SRR1343115,58735658,56273347,95.80,110998323,98.62
SRR1343197,39206860,35894762,91.55,71191349,99.16
SRR1343281,41861415,40205115,96.04,79604383,98.99
SRR1343481,43593213,39865626,91.44,78952324,99.02
SRR1343841,37463425,35213819,93.99,69633856,98.87
SRR1343879,37915125,34180608,90.15,67693369,99.02
SRR1345478,38308709,35932595,93.79,70891673,98.64
SRR1346670,35561604,33012792,92.83,65162032,98.69
SRR1346813,40566818,37791766,93.15,74468040,98.52
SRR1347688,41884880,38344509,91.54,75900272,98.97
SRR1348021,44393057,40699394,91.67,80215387,98.54
SRR1348159,59263788,53845355,90.85,106643818,99.02
SRR1348339,48569847,42968525,88.46,85024269,98.93
SRR1348360,35864967,33636876,93.78,66237783,98.46
SRR1348424,51458039,48424739,94.10,95244245,98.34
SRR1348446,39479655,36587307,92.67,72209408,98.68
SRR1348770,56952372,49887608,87.59,98132645,98.35
SRR1348861,57179826,53142818,92.93,105117189,98.90
SRR1349013,81317976,75303497,92.60,148842610,98.82
SRR1349056,58783022,52742740,89.72,104470575,99.03
SRR1349829,43384655,39288108,90.55,77852600,99.07
SRR1350107,34617689,28658980,82.78,56238254,98.11
SRR1350220,39702688,37003307,93.20,73261786,98.99
SRR1350456,116012307,111155113,95.81,219803787,98.87
SRR1350525,35169115,31351436,89.14,62031657,98.92
SRR1351325,64906549,61088309,94.11,119499899,97.80
SRR1351880,49000881,44179822,90.16,87369591,98.87
SRR1352129,36868379,30736739,83.36,60666135,98.68
SRR1352415,48167562,39684344,82.38,77683665,97.87
SRR1352554,46670357,44300278,94.92,87505357,98.76
SRR1352706,39438750,37592167,95.31,74579388,99.19
SRR1352954,50305163,47783843,94.98,93564580,97.90
SRR1352975,54879968,52527520,95.71,103928741,98.92
SRR1353157,39241495,36491215,92.99,72171296,98.88
SRR1353176,37551238,33741499,89.85,66716015,98.86
SRR1353221,39545073,31120073,78.69,61339077,98.55
SRR1353285,54620854,50220646,91.94,99135105,98.69
SRR1354013,60792213,57258393,94.18,112795663,98.49
SRR1354446,43045246,38152056,88.63,75464925,98.90
SRR1354577,51656795,48239878,93.38,94698062,98.15
SRR1354689,54693295,52013831,95.10,102900480,98.91
SRR1354734,42920972,40394511,94.11,79929498,98.93
SRR1354910,41371350,38823641,93.84,76768628,98.86
SRR1355040,34192886,31086541,90.91,61465194,98.86
SRR1355061,41362461,37028823,89.52,72838079,98.35
SRR1355150,39643422,34365415,86.68,67822161,98.67
SRR1355262,41254672,37898260,91.86,74994646,98.94
SRR1355373,66334606,63358648,95.51,125239293,98.83
SRR1355595,61133759,58489018,95.67,115991096,99.15
SRR1355613,35717376,32387854,90.67,64166696,99.05
SRR1355635,42897204,39989438,93.22,78814131,98.54
SRR1356036,34950430,31553489,90.28,62431843,98.93
SRR1356204,58440382,51878418,88.77,102247698,98.54
SRR1356375,32144165,29416683,91.51,57882449,98.38
SRR1356444,43107016,38408238,89.09,75983827,98.91
SRR1356619,43116728,38353352,88.95,75950442,99.01
SRR1357021,43079291,40454584,93.90,79839778,98.67
SRR1357189,43535944,37538918,86.22,74148127,98.76
SRR1357413,40153923,36034639,89.74,70841625,98.29
SRR1357434,39055528,35353981,90.52,69894052,98.84
SRR1357478,58656084,56065103,95.58,110834090,98.84
SRR1357523,43392785,38382078,88.45,75994943,98.99
SRR1358102,44539242,38406639,86.23,75859765,98.75
SRR1358183,46807600,43417264,92.75,85841416,98.85
SRR1358501,38727402,35447928,91.53,70185142,98.99
SRR1358561,33940717,31752003,93.55,62482800,98.39
SRR1358689,40569830,36309860,89.49,71899883,99.00
SRR1358826,45408172,42528278,93.65,84052527,98.81
SRR1359123,47556647,42618674,89.61,84383315,98.99
SRR1359171,37280930,34802332,93.35,68651429,98.63
SRR1359192,46014844,42163523,91.63,83621950,99.16
SRR1359367,34924873,32780158,93.85,64412835,98.24
SRR1359388,42361124,38713545,91.38,76600673,98.93
SRR1359630,38718448,36671338,94.71,72547342,98.91
SRR1359649,47488228,43035980,90.62,85341048,99.15
SRR1359673,41409700,36328885,87.73,71727822,98.72
SRR1360038,36387685,34250749,94.12,67515918,98.56
SRR1360104,42450134,38133560,89.83,75533588,99.03
SRR1360128,36286897,28545272,78.66,56274681,98.57
SRR1360150,35929567,28365627,78.94,55902263,98.53
SRR1360383,42081011,38334082,91.09,75849354,98.93
SRR1360563,51367995,46775240,91.05,92672874,99.06
SRR1360674,32984939,29951531,90.80,59194618,98.81
SRR1360718,40245880,37141979,92.28,73192082,98.53
SRR1360744,40553883,36848374,90.86,72917577,98.94
SRR1360868,35100266,32244306,91.86,63796276,98.92
SRR1361567,33309304,29125458,87.43,57475890,98.66
SRR1361674,35700398,33518888,93.88,66277965,98.86
SRR1361714,50624030,39548438,78.12,77601344,98.10
SRR1361736,34694288,30621431,88.26,60271581,98.41
SRR1361757,30227551,28260999,93.49,55837831,98.78
SRR1361795,63147047,56135276,88.89,111148878,99.00
SRR1362060,37228151,34700040,93.20,68103862,98.13
SRR1362183,52967311,49079120,92.65,96210876,98.01
SRR1362219,53936558,49066912,90.97,96823125,98.66
SRR1362417,63164421,60597339,95.93,119861630,98.90
SRR1362464,37604417,33432721,88.90,66076246,98.81
SRR1362532,53696342,47302161,88.09,93609820,98.94
SRR1362643,59545427,57043829,95.79,113048846,99.08
SRR1362777,42045078,37463323,89.10,74112761,98.91
SRR1362888,55259054,51124710,92.51,100923598,98.70
SRR1363633,32664444,30582803,93.62,60178384,98.38
SRR1363810,40166420,35909617,89.40,70755080,98.51
SRR1363992,42233749,39700316,94.00,78295187,98.60
SRR1364676,45225497,42188598,93.28,83099056,98.48
SRR1364739,45150757,40964336,90.72,80951304,98.80
SRR1364800,46269293,39925263,86.28,78763071,98.63
SRR1364893,35170025,32894774,93.53,64623118,98.22
SRR1365828,39801524,36957866,92.85,72787463,98.47
SRR1365987,39732935,35388331,89.06,69967088,98.85
SRR1366057,43138102,38592050,89.46,76174477,98.69
SRR1366141,35406902,33146025,93.61,65366753,98.60
SRR1366433,32780803,29790614,90.87,58709735,98.53
SRR1366579,47496004,43339602,91.24,85728498,98.90
SRR1366961,43286295,39471129,91.18,78090564,98.92
SRR1367128,65526458,61158259,93.33,119995556,98.10
SRR1367870,36093946,32929387,91.23,64999304,98.69
SRR1367943,41043374,37049921,90.27,73461490,99.13
SRR1368178,39167718,36011894,91.94,70876899,98.40
SRR1368222,41363541,35043009,84.71,69411559,99.03
SRR1368772,44201543,39971153,90.42,79194477,99.06
SRR1368835,60599902,57910539,95.56,114260777,98.65
SRR1368856,42378727,40386894,95.29,79968541,99.00
SRR1368964,45247034,35236825,77.87,68798132,97.62
SRR1369148,38594637,36181708,93.74,71028374,98.15
SRR1369219,57680410,53813284,93.29,105495650,98.02
SRR1370129,48776022,44924404,92.10,88636144,98.65
SRR1370173,41312425,38496371,93.18,76285865,99.08
SRR1370240,90442862,68652336,75.90,135423771,98.63
SRR1370262,79168684,75694205,95.61,149693483,98.88
SRR1370405,47367587,45074842,95.15,88753565,98.45
SRR1370473,59408341,56066297,94.37,110660515,98.68
SRR1370619,38528804,32925519,85.45,65193973,99.00
SRR1370797,50447311,48134123,95.41,95194066,98.88
SRR1373858,38090335,33490089,87.92,66283655,98.96
SRR1373940,48944868,43906352,89.70,86806147,98.85
SRR1374115,47025000,41836125,88.96,82853856,99.02
SRR1374221,47323602,41491991,87.67,82029252,98.84
SRR1374246,49154555,42821289,87.11,84196305,98.31
SRR1374414,42473404,40495397,95.34,80218590,99.04
SRR1375203,46040334,41841377,90.87,82883161,99.04
SRR1375271,34055840,29094358,85.43,57311528,98.49
SRR1375308,39928427,35698964,89.40,70497298,98.73
SRR1375571,45018064,35547264,78.96,70136601,98.65
SRR1375616,41418494,38698139,93.43,76673467,99.06
SRR1375635,39069711,34343379,87.90,67867914,98.80
SRR1375907,37261681,34878430,93.60,68591333,98.32
SRR1375927,51755927,46923943,90.66,92739435,98.81
SRR1375952,56248070,47567603,84.56,93925446,98.72
SRR1375976,47490605,40818988,85.95,80732733,98.89
SRR1376270,59765542,48765392,81.59,95964979,98.39
SRR1376597,36474445,33009078,90.49,65310990,98.92
SRR1377445,58498615,55766214,95.32,109733355,98.38
SRR1377927,39231978,36149610,92.14,71059009,98.28
SRR1377984,30220655,28337194,93.76,55870833,98.58
SRR1378004,56267679,52903868,94.02,104128628,98.41
SRR1378155,62124394,56509783,90.96,111233945,98.42
SRR1378841,44371873,39061201,88.03,77170807,98.78
SRR1379238,54656635,48324689,88.41,95693214,99.01
SRR1379450,34691844,32400377,93.39,63722563,98.33
SRR1379562,43185054,35824647,82.95,70255894,98.05
SRR1380680,32961938,30693581,93.11,60679474,98.84
SRR1381543,70427836,67449800,95.77,133315978,98.82
SRR1381566,48198990,43158612,89.54,85421615,98.96
SRR1381632,42441790,38064197,89.68,75305901,98.91
SRR1381673,28381039,26516787,93.43,52448076,98.89
SRR1381757,40690817,38879060,95.54,76978447,98.99
SRR1381889,47370161,39949410,84.33,78756305,98.57
SRR1382532,56795054,54140853,95.32,107154940,98.95
SRR1382570,43662930,38143342,87.35,75436688,98.88
SRR1382708,48591320,44158471,90.87,87122496,98.64
SRR1382732,35666743,31996056,89.70,63138416,98.66
SRR1382869,42297041,38672004,91.42,76738467,99.21
SRR1382956,61135684,57643646,94.28,113919771,98.81
SRR1383018,46125515,42207310,91.50,83532632,98.95
SRR1383059,49091348,38553820,78.53,76156770,98.76
SRR1383612,56080506,53688347,95.73,106367504,99.06
SRR1383633,56976189,54402115,95.48,107312351,98.62
SRR1383723,71741553,67794018,94.49,133649152,98.57
SRR1383831,39334407,35469978,90.17,70002928,98.67
SRR1384030,44463815,40880206,91.94,80922643,98.97
SRR1384234,51374585,43938704,85.52,86686380,98.64
SRR1385015,46573901,44550985,95.65,88024018,98.79
SRR1385036,62294943,58737710,94.28,115183521,98.04
SRR1385080,53664141,47463671,88.44,93745876,98.75
SRR1385124,41149595,36051372,87.61,71253313,98.82
SRR1386708,53896780,50614837,93.91,99259924,98.05
SRR1386818,52280970,47220303,90.32,93229318,98.71
SRR1387032,37782243,34513479,91.34,68230061,98.84
SRR1387072,41360496,38499030,93.08,75941062,98.62
SRR1387178,56670863,54393433,95.98,107717356,99.01
SRR1387199,71039109,67979698,95.69,134443284,98.88
SRR1387264,48264095,44346699,91.88,87919270,99.12
SRR1387809,47644912,44552179,93.50,87863000,98.60
SRR1387833,55052245,48693264,88.44,96346134,98.93
SRR1387875,39470030,36887115,93.45,72504386,98.27
SRR1387945,55591172,53284671,95.85,105474465,98.97
SRR1387989,47381992,42401578,89.48,83878720,98.90
SRR1388007,52825550,49264883,93.25,97167612,98.61
SRR1388168,34438449,31008241,90.03,61249120,98.76
SRR1388305,38968887,36697025,94.17,72486867,98.76
SRR1388323,43430917,38413013,88.44,75652442,98.47
SRR1388378,63582876,60948712,95.85,120698821,99.01
SRR1388480,45181338,40810481,90.32,80745159,98.92
SRR1388504,38341822,35352359,92.20,69435604,98.20
SRR1388979,44693289,42617060,95.35,84409736,99.03
SRR1389036,53261378,50913563,95.59,100807962,98.99
SRR1389059,55533149,49646655,89.40,98392860,99.09
SRR1389218,50735555,47379574,93.38,93847560,99.03
SRR1389348,34812015,32715985,93.97,64730734,98.92
SRR1389979,30533679,28525766,93.42,56294899,98.67
SRR1390516,47891213,42401435,88.53,83952030,98.99
SRR1390582,27911027,25485484,91.30,50459764,98.99
SRR1390601,46341411,41588903,89.74,82184324,98.80
SRR1391598,38599382,36058001,93.41,71081747,98.56
SRR1391639,38588161,36224114,93.87,71382821,98.52
SRR1391769,34086396,32027276,93.95,63446867,99.05
SRR1391879,77576460,73424825,94.64,144798681,98.60
SRR1391922,52478984,43723112,83.31,86439740,98.84
SRR1392637,45109757,40259253,89.24,79674292,98.95
SRR1392725,37342476,32034574,85.78,63360744,98.89
SRR1392985,44752709,41915319,93.65,82794838,98.76
SRR1393068,43587983,40820888,93.65,80274238,98.32
SRR1393553,34000604,31516040,92.69,62028816,98.40
SRR1394147,44573228,33978059,76.22,66818984,98.32
SRR1394297,71065071,63878802,89.88,126599954,99.09
SRR1394343,47243081,41128114,87.05,81241734,98.76
SRR1394450,50020096,42998963,85.96,84765668,98.56
SRR1394566,57138744,46599716,81.55,92119627,98.84
SRR1394677,34663540,32393857,93.45,63718160,98.34
SRR1394713,53915791,51605477,95.71,102038085,98.86
SRR1394755,34232552,32043852,93.60,63127495,98.50
SRR1394799,44030269,40985484,93.08,80786477,98.55
SRR1394936,46191337,44231854,95.75,87318764,98.70
SRR1395834,36773236,34664517,94.26,68379877,98.63
SRR1395951,68639247,65533172,95.47,129490219,98.79
SRR1396078,43816000,38795932,88.54,76710588,98.86
SRR1396123,59255569,56614877,95.54,111748156,98.69
SRR1396595,42377572,38305146,90.39,75737213,98.86
SRR1396640,33337266,30409634,91.21,60171010,98.93
SRR1396659,39104891,34115497,87.24,67373833,98.74
SRR1397008,54148506,50901826,94.00,99988793,98.21
SRR1397073,32249068,29093640,90.21,57419875,98.68
SRR1397094,62240059,59479927,95.56,117253665,98.56
SRR1397266,40947657,37291093,91.07,73317578,98.30
SRR1397906,38300689,34197382,89.28,67488308,98.67
SRR1398157,33684045,30634237,90.94,60401304,98.58
SRR1398411,38649120,35765578,92.53,70684426,98.81
SRR1398839,31286789,29594948,94.59,58183319,98.29
SRR1398992,49882720,46035526,92.28,90382554,98.16
SRR1399028,39601598,35779092,90.34,70732258,98.84
SRR1399051,46012881,43905255,95.41,87013431,99.09
SRR1399092,35647707,32170240,90.24,63641649,98.91
SRR1399201,45148960,38702735,85.72,76458051,98.77
SRR1399779,44777106,42769568,95.51,84585569,98.88
SRR1399904,41482085,33408793,80.53,65728745,98.37
SRR1400245,49909430,45268416,90.70,89747076,99.12
SRR1400269,80693444,77481430,96.01,153341647,98.95
SRR1400375,38748421,35094886,90.57,69239574,98.64
