study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
PRJNA688708	SAMN17185616	SRX9761904	SRR13335405	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/005/SRR13335405/SRR13335405.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/005/SRR13335405	sample_output_QBB_150_TR2	
PRJNA688708	SAMN17186007	SRX9762447	SRR13335618	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/018/SRR13335618/SRR13335618.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/018/SRR13335618	sample_output_QBB_346_TR2	
PRJNA688708	SAMN17185464	SRX9762176	SRR13335133	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/033/SRR13335133/SRR13335133.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/033/SRR13335133	sample_output_QBB_74_TR1	
PRJNA688708	SAMN17185615	SRX9761903	SRR13335406	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/006/SRR13335406/SRR13335406.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/006/SRR13335406	sample_output_QBB_150_TR1	
PRJNA688708	SAMN17186002	SRX9762441	SRR13335624	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/024/SRR13335624/SRR13335624.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/024/SRR13335624	sample_output_QBB_343_TR2	
PRJNA688708	SAMN17185463	SRX9762175	SRR13335134	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/034/SRR13335134/SRR13335134.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/034/SRR13335134	sample_output_QBB_74_TR2	
PRJNA688708	SAMN17185614	SRX9761902	SRR13335407	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/007/SRR13335407/SRR13335407.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/007/SRR13335407	sample_output_QBB_149_TR2	
PRJNA688708	SAMN17185999	SRX9762438	SRR13335627	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/027/SRR13335627/SRR13335627.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/027/SRR13335627	sample_output_QBB_342_TR2	
PRJNA688708	SAMN17185609	SRX9761897	SRR13335412	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/012/SRR13335412/SRR13335412.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/012/SRR13335412	sample_output_QBB_147_TR1	
PRJNA688708	SAMN17185996	SRX9762434	SRR13335631	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13335631/SRR13335631.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/031/SRR13335631	sample_output_QBB_340_TR2	
PRJNA688708	SAMN17185460	SRX9762172	SRR13335137	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/037/SRR13335137/SRR13335137.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/037/SRR13335137	sample_output_QBB_72_TR1	
PRJNA688708	SAMN17185995	SRX9762433	SRR13335632	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/032/SRR13335632/SRR13335632.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/032/SRR13335632	sample_output_QBB_340_TR1	
PRJNA688708	SAMN17185459	SRX9762171	SRR13335138	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/038/SRR13335138/SRR13335138.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/038/SRR13335138	sample_output_QBB_72_TR2	
PRJNA688708	SAMN17185604	SRX9761891	SRR13335418	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/018/SRR13335418/SRR13335418.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/018/SRR13335418	sample_output_QBB_144_TR2	
PRJNA688708	SAMN17185993	SRX9762431	SRR13335634	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/034/SRR13335634/SRR13335634.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/034/SRR13335634	sample_output_QBB_339_TR1	
PRJNA688708	SAMN17186276	SRX9761881	SRR13335428	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/028/SRR13335428/SRR13335428.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/028/SRR13335428	sample_output_QBB_480_TR2	
PRJNA688708	SAMN17185791	SRX9762423	SRR13335642	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/042/SRR13335642/SRR13335642.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/042/SRR13335642	sample_output_QBB_238_TR1	
PRJNA688708	SAMN17186118	SRX9762143	SRR13335167	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/067/SRR13335167/SRR13335167.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/067/SRR13335167	sample_output_QBB_401_TR1	
PRJNA688708	SAMN17186275	SRX9761880	SRR13335429	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/029/SRR13335429/SRR13335429.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/029/SRR13335429	sample_output_QBB_480_TR1	
PRJNA688708	SAMN17185787	SRX9762419	SRR13335646	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/046/SRR13335646/SRR13335646.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/046/SRR13335646	sample_output_QBB_236_TR2	
PRJNA688708	SAMN17186274	SRX9761879	SRR13335430	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/030/SRR13335430/SRR13335430.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/030/SRR13335430	sample_output_QBB_479_TR2	
PRJNA688708	SAMN17185415	SRX9762141	SRR13335169	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/069/SRR13335169/SRR13335169.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/069/SRR13335169	sample_output_QBB_50_TR1	
PRJNA688708	SAMN17186273	SRX9761878	SRR13335431	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/031/SRR13335431/SRR13335431.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/031/SRR13335431	sample_output_QBB_479_TR1	
PRJNA688708	SAMN17186271	SRX9761876	SRR13335433	10760	Escherichia phage T7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/033/SRR13335433/SRR13335433.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR133/033/SRR13335433	sample_output_QBB_478_TR1	
