Sample	Family	Gender	Population	Population Description	Super Population	Super Population Description
HG01868	VN035	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG01869	VN036	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG01870	VN037	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG01871	VN038	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG01872	VN039	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG01873	VN040	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG01874	VN041	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG01878	VN045	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG01879	BB01	male	ACB	African Caribbean in Barbados	AFR	African
HG01880	BB01	female	ACB	African Caribbean in Barbados	AFR	African
HG01881	BB01	female	ACB	African Caribbean in Barbados	AFR	African
HG01882	BB02	male	ACB	African Caribbean in Barbados	AFR	African
HG01883	BB02	female	ACB	African Caribbean in Barbados	AFR	African
HG01884	BB03	female	ACB	African Caribbean in Barbados	AFR	African
HG01885	BB03	male	ACB	African Caribbean in Barbados	AFR	African
HG01886	BB04	female	ACB	African Caribbean in Barbados	AFR	African
HG01887	BB04	male	ACB	African Caribbean in Barbados	AFR	African
HG01888	BB02	male	ACB	African Caribbean in Barbados	AFR	African
HG01889	BB05	female	ACB	African Caribbean in Barbados	AFR	African
HG01890	BB05	male	ACB	African Caribbean in Barbados	AFR	African
HG01891	BB05	female	ACB	African Caribbean in Barbados	AFR	African
HG01892	PEL007	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01893	PEL007	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01894	BB06	female	ACB	African Caribbean in Barbados	AFR	African
HG01895	BB06	male	ACB	African Caribbean in Barbados	AFR	African
HG01896	BB07	female	ACB	African Caribbean in Barbados	AFR	African
HG01897	BB07	male	ACB	African Caribbean in Barbados	AFR	African
HG01898	PEL007	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01912	BB06	male	ACB	African Caribbean in Barbados	AFR	African
HG01914	BB09	male	ACB	African Caribbean in Barbados	AFR	African
HG01915	BB09	female	ACB	African Caribbean in Barbados	AFR	African
HG01916	BB09	female	ACB	African Caribbean in Barbados	AFR	African
HG01917	PEL006	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01918	PEL006	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01919	PEL006	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01920	PEL009	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01921	PEL009	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01922	PEL009	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01923	PEL010	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01924	PEL010	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01925	PEL010	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01926	PEL011	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01927	PEL011	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01928	PEL011	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01932	PEL013	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01933	PEL013	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01934	PEL013	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01935	PEL014	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01936	PEL014	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01937	PEL014	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01938	PEL015	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01939	PEL015	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01940	PEL015	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01941	PEL016	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01942	PEL016	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01943	PEL016	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01944	PEL017	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01945	PEL017	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01946	PEL017	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01947	PEL018	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01948	PEL018	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01949	PEL018	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01950	PEL019	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01951	PEL019	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01952	PEL019	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01953	PEL020	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01954	PEL020	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01955	PEL020	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01956	BB03	female	ACB	African Caribbean in Barbados	AFR	African
HG01958	BB10	female	ACB	African Caribbean in Barbados	AFR	African
HG01959	BB10	female	ACB	African Caribbean in Barbados	AFR	African
HG01960	BB11	female	ACB	African Caribbean in Barbados	AFR	African
HG01961	PEL21	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01965	PEL22	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01967	PEL023	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01968	PEL023	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01969	PEL023	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01970	PEL024	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01971	PEL024	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01972	PEL024	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01973	PEL25	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01974	PEL25	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01975	PEL25	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01976	PEL26	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01977	PEL26	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01978	PEL26	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01979	PEL27	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01980	PEL27	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01981	PEL27	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01982	PEL28	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01983	PEL28	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01984	PEL28	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01985	BB08	female	ACB	African Caribbean in Barbados	AFR	African
HG01986	BB10	male	ACB	African Caribbean in Barbados	AFR	African
HG01987	BB12	male	ACB	African Caribbean in Barbados	AFR	African
HG01988	BB11	male	ACB	African Caribbean in Barbados	AFR	African
HG01989	BB11	female	ACB	African Caribbean in Barbados	AFR	African
HG01990	BB12	male	ACB	African Caribbean in Barbados	AFR	African
HG01991	PEL29	male	PEL	Peruvian in Lima, Peru	AMR	American
HG01992	PEL29	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01993	PEL29	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01995	PEL30	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01997	PEL31	female	PEL	Peruvian in Lima, Peru	AMR	American
HG01998	PEL31	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02002	PEL33	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02003	PEL33	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02004	PEL33	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02006	PEL34	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02008	PEL31	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02009	BB13	male	ACB	African Caribbean in Barbados	AFR	African
HG02010	BB13	female	ACB	African Caribbean in Barbados	AFR	African
HG02011	BB13	male	ACB	African Caribbean in Barbados	AFR	African
HG02012	BB12	female	ACB	African Caribbean in Barbados	AFR	African
HG02013	BB07	male	ACB	African Caribbean in Barbados	AFR	African
HG02014	BB04	male	ACB	African Caribbean in Barbados	AFR	African
HG02015	VN046	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02016	VN046	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02017	VN046	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02018	VN047	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02019	VN047	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02020	VN047	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02021	VN048	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02023	VN048	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02024	VN049	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02025	VN049	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02026	VN049	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02027	VN050	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02028	VN050	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02029	VN050	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02030	VN051	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02031	VN051	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02032	VN051	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02035	VN052	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02040	VN054	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02046	VN056	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02047	VN056	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02048	VN057	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02049	VN058	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02050	VN059	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02051	BB14	male	ACB	African Caribbean in Barbados	AFR	African
HG02052	BB14	female	ACB	African Caribbean in Barbados	AFR	African
HG02053	BB15	male	ACB	African Caribbean in Barbados	AFR	African
HG02054	BB15	female	ACB	African Caribbean in Barbados	AFR	African
HG02055	BB15	male	ACB	African Caribbean in Barbados	AFR	African
HG02056	VN060	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02057	VN060	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02058	VN060	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02059	VN061	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02060	VN061	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02061	VN061	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02064	VN062	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02067	VN063	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02068	VN064	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02069	VN064	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02070	VN064	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02071	VN065	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02072	VN065	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02073	VN065	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02074	VN066	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02075	VN066	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02076	VN066	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02077	VN067	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02078	VN067	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02079	VN067	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02080	VN068	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02081	VN068	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02082	VN068	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02083	VN069	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02084	VN069	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02085	VN069	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02086	VN070	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02087	VN071	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02088	VN072	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02089	PEL35	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02090	PEL35	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02091	PEL35	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02095	BB16	female	ACB	African Caribbean in Barbados	AFR	African
HG02102	PEL37	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02104	PEL38	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02105	PEL38	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02106	PEL38	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02107	BB18	male	ACB	African Caribbean in Barbados	AFR	African
HG02108	BB18	female	ACB	African Caribbean in Barbados	AFR	African
HG02111	BB19	female	ACB	African Caribbean in Barbados	AFR	African
HG02113	VN073	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02116	VN074	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02120	VN076	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02121	VN076	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02122	VN076	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02126	VN078	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02127	VN078	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02128	VN078	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02129	VN079	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02130	VN079	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02131	VN079	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02132	VN080	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02133	VN080	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02134	VN080	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02135	VN081	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02136	VN081	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02137	VN081	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02138	VN082	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02139	VN083	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02140	VN084	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02141	VN085	male	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02142	VN086	female	KHV	Kinh in Ho Chi Minh City, Vietnam	EAS	East Asian
HG02143	BB20	male	ACB	African Caribbean in Barbados	AFR	African
HG02144	BB20	female	ACB	African Caribbean in Barbados	AFR	African
HG02145	BB20	male	ACB	African Caribbean in Barbados	AFR	African
HG02146	PEL39	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02147	PEL39	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02148	PEL39	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02150	PEL40	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02151	HG02151	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02152	HG02152	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02153	HG02153	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02154	HG02154	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02155	HG02155	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02156	HG02156	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02164	HG02164	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02165	HG02165	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02166	HG02166	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02168	HG02168	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02169	HG02169	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02170	HG02170	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02173	HG02173	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02176	HG02176	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02178	HG02178	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02179	HG02179	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02180	HG02180	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02181	HG02181	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02182	HG02182	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02184	HG02184	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02185	HG02185	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02186	HG02186	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02187	HG02187	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02188	HG02188	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02189	HG02189	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02190	HG02190	female	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02215	HG02215	female	GBR	British in England and Scotland	EUR	European
HG02217	IBS055	female	IBS	Iberian populations in Spain	EUR	European
HG02218	IBS055	female	IBS	Iberian populations in Spain	EUR	European
HG02219	IBS055	male	IBS	Iberian populations in Spain	EUR	European
HG02220	IBS056	female	IBS	Iberian populations in Spain	EUR	European
HG02221	IBS056	male	IBS	Iberian populations in Spain	EUR	European
HG02222	IBS056	female	IBS	Iberian populations in Spain	EUR	European
HG02223	IBS057	female	IBS	Iberian populations in Spain	EUR	European
HG02224	IBS057	male	IBS	Iberian populations in Spain	EUR	European
HG02225	IBS057	female	IBS	Iberian populations in Spain	EUR	European
HG02229	IBS059	female	IBS	Iberian populations in Spain	EUR	European
HG02230	IBS059	female	IBS	Iberian populations in Spain	EUR	European
HG02231	IBS059	male	IBS	Iberian populations in Spain	EUR	European
HG02232	IBS060	female	IBS	Iberian populations in Spain	EUR	European
HG02233	IBS060	male	IBS	Iberian populations in Spain	EUR	European
HG02234	IBS060	male	IBS	Iberian populations in Spain	EUR	European
HG02235	IBS061	female	IBS	Iberian populations in Spain	EUR	European
HG02236	IBS061	male	IBS	Iberian populations in Spain	EUR	European
HG02237	IBS061	female	IBS	Iberian populations in Spain	EUR	European
HG02238	IBS062	male	IBS	Iberian populations in Spain	EUR	European
HG02239	IBS062	female	IBS	Iberian populations in Spain	EUR	European
HG02240	IBS062	female	IBS	Iberian populations in Spain	EUR	European
HG02250	HG02250	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02252	PEL41	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02253	PEL41	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02254	PEL41	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02255	BB21	male	ACB	African Caribbean in Barbados	AFR	African
HG02256	BB21	female	ACB	African Caribbean in Barbados	AFR	African
HG02257	BB21	female	ACB	African Caribbean in Barbados	AFR	African
HG02258	BB22	male	ACB	African Caribbean in Barbados	AFR	African
HG02259	PEL42	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02260	PEL42	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02261	PEL42	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02262	PEL43	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02265	PEL44	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02266	PEL44	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02267	PEL44	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02271	PEL46	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02272	PEL46	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02273	PEL46	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02274	PEL47	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02275	PEL47	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02276	PEL47	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02277	PEL48	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02278	PEL48	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02279	PEL48	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02280	BB23	female	ACB	African Caribbean in Barbados	AFR	African
HG02281	BB24	male	ACB	African Caribbean in Barbados	AFR	African
HG02282	BB24	female	ACB	African Caribbean in Barbados	AFR	African
HG02283	BB25	male	ACB	African Caribbean in Barbados	AFR	African
HG02284	BB26	male	ACB	African Caribbean in Barbados	AFR	African
HG02285	PEL49	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02286	PEL49	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02287	PEL49	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02288	PEL50	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02291	PEL51	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02292	PEL51	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02293	PEL51	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02298	PEL52	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02299	PEL52	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02300	PEL52	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02301	PEL53	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02302	PEL53	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02303	PEL53	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02304	PEL54	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02307	BB23	male	ACB	African Caribbean in Barbados	AFR	African
HG02308	BB23	female	ACB	African Caribbean in Barbados	AFR	African
HG02309	BB25	female	ACB	African Caribbean in Barbados	AFR	African
HG02312	PEL55	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02314	BB22	male	ACB	African Caribbean in Barbados	AFR	African
HG02315	BB22	female	ACB	African Caribbean in Barbados	AFR	African
HG02316	BB27	male	ACB	African Caribbean in Barbados	AFR	African
HG02317	BB27	male	ACB	African Caribbean in Barbados	AFR	African
HG02318	BB27	female	ACB	African Caribbean in Barbados	AFR	African
HG02321	BB24	female	ACB	African Caribbean in Barbados	AFR	African
HG02322	BB28	female	ACB	African Caribbean in Barbados	AFR	African
HG02323	BB29	male	ACB	African Caribbean in Barbados	AFR	African
HG02325	BB30	female	ACB	African Caribbean in Barbados	AFR	African
HG02330	BB33	male	ACB	African Caribbean in Barbados	AFR	African
HG02332	BB16	male	ACB	African Caribbean in Barbados	AFR	African
HG02334	BB32	male	ACB	African Caribbean in Barbados	AFR	African
HG02337	BB31	female	ACB	African Caribbean in Barbados	AFR	African
HG02339	BB34	female	ACB	African Caribbean in Barbados	AFR	African
HG02343	BB35	male	ACB	African Caribbean in Barbados	AFR	African
HG02344	PEL56	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02345	PEL56	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02347	PEL57	male	PEL	Peruvian in Lima, Peru	AMR	American
HG02348	PEL57	female	PEL	Peruvian in Lima, Peru	AMR	American
HG02351	HG02351	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02353	HG02353	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02355	HG02355	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02356	HG02356	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02358	HG02358	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02360	HG02360	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02363	HG02363	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02364	HG02364	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02367	HG02367	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02371	CDX2	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02372	CDX2	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02373	HG02373	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02374	HG02374	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02375	HG02375	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02377	HG02377	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02379	HG02379	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02380	HG02380	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02381	HG02381	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02382	HG02382	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02383	HG02383	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02384	HG02384	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02385	HG02385	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02386	HG02386	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02387	HG02387	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02388	HG02388	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02389	HG02389	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02390	HG02390	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02391	HG02391	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02392	HG02392	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02394	HG02394	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02395	HG02395	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
HG02396	HG02396	male	CDX	Chinese Dai in Xishuangbanna, China	EAS	East Asian
