  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count,hg38 aligned Count,hg38 aligned %
06-A6S0-01A-11R-A344-08+1,63451632,61569144,97.03,121904520,98.99
06-A6S1-01A-11R-A344-08+1,60352947,58530811,96.98,115667359,98.80
06-A7TK-01A-21R-A39C-08+1,51526745,49816269,96.68,98425579,98.78
06-A7TL-01A-11R-A39C-08+1,32465502,31492061,97.00,62200238,98.75
06-AABW-11A-31R-A36H-07+1,55420464,54282675,97.94,107259956,98.79
08-0386-01A-01R-1849-01+1,42042725,39580934,94.14,78333910,98.95
08-0386-01A-01R-1849-01+2,61211188,51155190,83.57,100899472,98.62
12-0616-01A-01R-1849-01+1,60581390,37688635,62.21,71332383,94.63
12-0616-01A-01R-1849-01+2,38847358,26514881,68.25,49964333,94.21
12-0618-01A-01R-1849-01+1,50250557,48220691,95.96,95549115,99.07
12-0618-01A-01R-1849-01+2,74632005,63869042,85.57,126123017,98.73
12-0619-01A-01R-1849-01+1,46419592,43458557,93.62,85515654,98.38
12-0619-01A-01R-1849-01+2,70742308,58866655,83.21,115577154,98.16
12-0821-01A-01R-1849-01+1,81082632,53987015,66.58,104844636,97.10
12-0821-01A-01R-1849-01+2,55734045,38358372,68.82,74460150,97.05
12-1597-01B-01R-1849-01+1,39808181,31679475,79.58,61604358,97.23
12-1597-01B-01R-1849-01+2,68871338,50716850,73.63,98962077,97.56
12-3650-01A-01R-1849-01+1,50374713,29953842,59.46,56419809,94.17
12-3650-01A-01R-1849-01+2,35867487,23045060,64.25,43102293,93.51
12-3652-01A-01R-1849-01+1,39713182,30693218,77.28,59688957,97.23
12-3652-01A-01R-1849-01+2,62264508,44534155,71.52,86720843,97.36
12-3653-01A-01R-1849-01+1,50772638,27064027,53.30,49249745,90.98
12-3653-01A-01R-1849-01+2,70194984,35080754,49.97,64649802,92.14
12-5295-01A-01R-1849-01+1,42225178,30548009,72.34,58191527,95.24
12-5295-01A-01R-1849-01+2,65418422,44199863,67.56,84837324,95.97
12-5299-01A-02R-1849-01+1,70386823,58216330,82.70,114814757,98.61
12-5299-01A-02R-1849-01+2,43898092,40392521,92.01,79894174,98.89
14-0736-02A-01R-2005-01+1,39304008,30417952,77.39,58553047,96.24
14-0736-02A-01R-2005-01+2,26275936,21654400,82.41,41493829,95.80
14-0781-01B-01R-1849-01+1,73674027,60565561,82.20,119107486,98.32
14-0781-01B-01R-1849-01+2,41377249,39346049,95.09,77730485,98.77
14-0787-01A-01R-1849-01+1,52570129,33164188,63.08,62995352,94.97
14-0787-01A-01R-1849-01+2,38565388,25782929,66.85,48731299,94.50
14-0789-01A-01R-1849-01+1,43823900,32756518,74.74,60467290,92.29
14-0789-01A-01R-1849-01+2,61884281,43584627,70.42,81454012,93.44
14-0790-01B-01R-1849-01+1,40470088,28346046,70.04,53241376,93.91
14-0790-01B-01R-1849-01+2,57597213,37733621,65.51,71249714,94.41
14-0817-01A-01R-1849-01+1,75980184,53732552,70.71,100579986,93.59
14-0817-01A-01R-1849-01+2,48836321,35664856,73.02,65325543,91.58
14-0871-01A-01R-1849-01+1,50523837,17318189,34.27,19401499,56.01
14-0871-01A-01R-1849-01+2,40017352,14567879,36.40,14893632,51.11
14-1034-01A-01R-1849-01+1,32665402,29508360,90.33,58023450,98.31
14-1034-01A-01R-1849-01+2,45860828,38251845,83.40,75001946,98.03
14-1034-02B-01R-2005-01+1,43403247,29243602,67.37,52637572,89.99
14-1034-02B-01R-2005-01+2,59032122,37334471,63.24,68053247,91.13
14-1402-02A-01R-2005-01+1,57447306,44944287,78.23,86469101,96.19
14-1402-02A-01R-2005-01+2,33841361,27670142,81.76,52621869,95.08
14-1823-01A-01R-1849-01+1,65815631,42384698,64.39,81577232,96.23
14-1823-01A-01R-1849-01+2,42163164,27561010,65.36,52868551,95.91
14-1825-01A-01R-1850-01+1,50405056,19457123,38.60,28478524,73.18
14-1825-01A-01R-1850-01+2,40641063,16915747,41.62,23860246,70.52
14-1829-01A-01R-1850-01+1,42694112,30547694,71.55,56614761,92.66
14-1829-01A-01R-1850-01+2,67361781,47946057,71.17,90718320,94.60
14-2554-01A-01R-1850-01+1,40570072,37649542,92.80,74456666,98.88
14-2554-01A-01R-1850-01+2,66392312,57114860,86.02,112711567,98.67
15-0742-01A-01R-1850-01+1,38912027,34892259,89.66,68779765,98.56
15-0742-01A-01R-1850-01+2,58846541,47219496,80.24,92831638,98.29
15-1444-01A-02R-1850-01+1,73367665,59944281,81.70,117701355,98.17
15-1444-01A-02R-1850-01+2,44948144,42169485,93.81,83163991,98.60
16-0846-01A-01R-1850-01+1,60070145,48878451,81.36,95237868,97.42
16-0846-01A-01R-1850-01+2,38933492,34084635,87.54,66389980,97.38
16-1045-01B-01R-1850-01+1,56336075,42624773,75.66,82117243,96.32
16-1045-01B-01R-1850-01+2,39569084,32231622,81.45,61964256,96.12
19-0957-02A-11R-2005-01+1,40083277,37163107,92.71,73249343,98.55
19-0957-02A-11R-2005-01+2,60079198,51293643,85.37,100867495,98.32
19-1389-02A-21R-2005-01+1,36134463,33437035,92.53,65688033,98.22
19-1389-02A-21R-2005-01+2,56999390,49042133,86.03,96294390,98.17
19-1390-01A-01R-1850-01+1,73585262,61087484,83.01,120134407,98.32
19-1390-01A-01R-1850-01+2,49816261,46726830,93.79,92199015,98.65
19-1787-01B-01R-1850-01+1,76773771,58048770,75.61,113633547,97.87
19-1787-01B-01R-1850-01+2,49992726,41950716,83.91,82222223,97.99
19-2619-01A-01R-1850-01+1,76667237,60277935,78.62,118553023,98.33
19-2619-01A-01R-1850-01+2,50541760,44859983,88.75,88545760,98.69
19-2620-01A-01R-1850-01+1,59634667,32856949,55.09,61220351,93.16
19-2620-01A-01R-1850-01+2,42683133,24718263,57.91,45463390,91.96
19-2624-01A-01R-1850-01+1,50419764,48662530,96.51,96313177,98.96
19-2624-01A-01R-1850-01+2,75124415,65169446,86.74,128528483,98.61
19-2625-01A-01R-1850-01+1,74307811,58498992,78.72,114766848,98.09
19-2625-01A-01R-1850-01+2,44957929,39313488,87.44,77203893,98.19
19-2629-01A-01R-1850-01+1,73550206,58456154,79.47,114627345,98.04
19-2629-01A-01R-1850-01+2,47718697,42069873,88.16,82617696,98.19
19-4065-01A-01R-2005-01+1,41775256,39772381,95.20,78561100,98.76
19-4065-01A-01R-2005-01+2,70869959,58369827,82.36,114744312,98.29
19-4065-02A-11R-2005-01+1,56655087,45172762,79.73,88385900,97.83
19-4065-02A-11R-2005-01+2,34145301,31601051,92.54,62064961,98.20
19-5960-01A-11R-1850-01+1,66597911,56127379,84.27,110403166,98.35
19-5960-01A-11R-1850-01+2,42852123,41219849,96.19,81513649,98.87
19-A60I-01A-12R-A344-08+1,64103992,62280032,97.15,123254784,98.95
19-A6J4-01A-11R-A344-08+1,61483385,59636328,96.99,118270128,99.15
19-A6J5-01A-21R-A344-08+1,54476174,52770231,96.86,104527114,99.03
26-1442-01A-01R-1850-01+1,42409044,40573229,95.67,80048988,98.64
26-1442-01A-01R-1850-01+2,73809304,60941142,82.56,119726628,98.23
26-5132-01A-01R-1850-01+1,43629656,38179589,87.50,74819726,97.98
26-5132-01A-01R-1850-01+2,65695060,51176599,77.90,100102565,97.80
26-5133-01A-01R-1850-01+1,40057802,36050474,89.99,71051940,98.54
26-5133-01A-01R-1850-01+2,61993786,50015418,80.67,98338027,98.30
26-5134-01A-01R-1850-01+1,66150981,52757749,79.75,103738740,98.31
