  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count
19-2624-01A-01R-1850-01+1,50419764,48662530,96.51
19-2624-01A-01R-1850-01+2,75124415,65169446,86.74
19-2625-01A-01R-1850-01+1,74307811,58498992,78.72
19-2625-01A-01R-1850-01+2,44957929,39313488,87.44
19-2629-01A-01R-1850-01+1,73550206,58456154,79.47
19-2629-01A-01R-1850-01+2,47718697,42069873,88.16
19-4065-01A-01R-2005-01+1,41775256,39772381,95.20
19-4065-01A-01R-2005-01+2,70869959,58369827,82.36
19-4065-02A-11R-2005-01+1,56655087,45172762,79.73
19-4065-02A-11R-2005-01+2,34145301,31601051,92.54
19-5960-01A-11R-1850-01+1,66597911,56127379,84.27
19-5960-01A-11R-1850-01+2,42852123,41219849,96.19
19-A60I-01A-12R-A344-08+1,64103992,62280032,97.15
19-A6J4-01A-11R-A344-08+1,61483385,59636328,96.99
19-A6J5-01A-21R-A344-08+1,54476174,52770231,96.86
26-1442-01A-01R-1850-01+1,42409044,40573229,95.67
26-1442-01A-01R-1850-01+2,73809304,60941142,82.56
26-5132-01A-01R-1850-01+1,43629656,38179589,87.50
26-5132-01A-01R-1850-01+2,65695060,51176599,77.90
26-5133-01A-01R-1850-01+1,40057802,36050474,89.99
26-5133-01A-01R-1850-01+2,61993786,50015418,80.67
26-5134-01A-01R-1850-01+1,66150981,52757749,79.75
26-5134-01A-01R-1850-01+2,22811329,19137007,83.89
26-5135-01A-01R-1850-01+1,62071962,41812813,67.36
26-5135-01A-01R-1850-01+2,41402729,31142734,75.21
26-5136-01B-01R-1850-01+1,31064868,14712612,47.36
26-5136-01B-01R-1850-01+2,44776300,18982875,42.39
26-5139-01A-01R-1850-01+1,35877489,33372944,93.01
26-5139-01A-01R-1850-01+2,57439549,45733511,79.62
26-A7UX-01B-11R-A39C-08+1,45624764,44347932,97.20
27-1830-01A-01R-1850-01+1,61986907,50830562,82.00
27-1830-01A-01R-1850-01+2,41996483,37128302,88.40
27-1831-01A-01R-1850-01+1,34957818,26085439,74.61
27-1831-01A-01R-1850-01+2,57805303,41979143,72.62
27-1832-01A-01R-1850-01+1,39374901,37063165,94.12
27-1832-01A-01R-1850-01+2,71050536,61845618,87.04
27-1834-01A-01R-1850-01+1,40243783,34102975,84.74
27-1834-01A-01R-1850-01+2,58266966,46404722,79.64
27-1835-01A-01R-1850-01+1,59759789,41433362,69.33
27-1835-01A-01R-1850-01+2,41202927,29893390,72.55
27-1837-01A-01R-1850-01+1,58525688,25891897,44.24
27-1837-01A-01R-1850-01+2,45702958,21145985,46.26
27-2519-01A-01R-1850-01+1,38629675,36643531,94.85
27-2519-01A-01R-1850-01+2,57112760,49704618,87.02
27-2521-01A-01R-1850-01+1,45147008,40868892,90.52
27-2521-01A-01R-1850-01+2,67112479,56169412,83.69
27-2523-01A-01R-1850-01+1,65544995,57631923,87.92
27-2523-01A-01R-1850-01+2,44843828,42980062,95.84
27-2524-01A-01R-1850-01+1,38080466,32832048,86.21
27-2524-01A-01R-1850-01+2,60427668,48449255,80.17
27-2526-01A-01R-1850-01+1,36626691,33309193,90.94
27-2526-01A-01R-1850-01+2,60043646,50839968,84.67
