sample,read count,average length,raw AC_000005.1,RM AC_000005.1,hg38 AC_000005.1,RM+hg38 AC_000005.1,raw AC_000007.1,RM AC_000007.1,hg38 AC_000007.1,RM+hg38 AC_000007.1,raw AC_000017.1,RM AC_000017.1,hg38 AC_000017.1,RM+hg38 AC_000017.1,raw AC_000018.1,RM AC_000018.1,hg38 AC_000018.1,RM+hg38 AC_000018.1,raw AC_000019.1,RM AC_000019.1,hg38 AC_000019.1,RM+hg38 AC_000019.1,raw NC_000898.1,RM NC_000898.1,hg38 NC_000898.1,RM+hg38 NC_000898.1,raw NC_001352.1,RM NC_001352.1,hg38 NC_001352.1,RM+hg38 NC_001352.1,raw NC_001357.1,RM NC_001357.1,hg38 NC_001357.1,RM+hg38 NC_001357.1,raw NC_001405.1,RM NC_001405.1,hg38 NC_001405.1,RM+hg38 NC_001405.1,raw NC_001460.1,RM NC_001460.1,hg38 NC_001460.1,RM+hg38 NC_001460.1,raw NC_001587.1,RM NC_001587.1,hg38 NC_001587.1,RM+hg38 NC_001587.1,raw NC_001593.1,RM NC_001593.1,hg38 NC_001593.1,RM+hg38 NC_001593.1,raw NC_001664.4,RM NC_001664.4,hg38 NC_001664.4,RM+hg38 NC_001664.4,raw NC_001716.2,RM NC_001716.2,hg38 NC_001716.2,RM+hg38 NC_001716.2,raw NC_001798.2,RM NC_001798.2,hg38 NC_001798.2,RM+hg38 NC_001798.2,raw NC_001806.2,RM NC_001806.2,hg38 NC_001806.2,RM+hg38 NC_001806.2,raw NC_006273.2,RM NC_006273.2,hg38 NC_006273.2,RM+hg38 NC_006273.2,raw NC_006577.2,RM NC_006577.2,hg38 NC_006577.2,RM+hg38 NC_006577.2,raw NC_007605.1,RM NC_007605.1,hg38 NC_007605.1,RM+hg38 NC_007605.1,raw NC_009333.1,RM NC_009333.1,hg38 NC_009333.1,RM+hg38 NC_009333.1,raw NC_009334.1,RM NC_009334.1,hg38 NC_009334.1,RM+hg38 NC_009334.1,raw NC_011203.1,RM NC_011203.1,hg38 NC_011203.1,RM+hg38 NC_011203.1,raw NC_020890.1,RM NC_020890.1,hg38 NC_020890.1,RM+hg38 NC_020890.1,raw NC_028459.1,RM NC_028459.1,hg38 NC_028459.1,RM+hg38 NC_028459.1,raw NC_038524.1,RM NC_038524.1,hg38 NC_038524.1,RM+hg38 NC_038524.1,raw NC_038889.1,RM NC_038889.1,hg38 NC_038889.1,RM+hg38 NC_038889.1
DU-6403-10A-01D-1703,198853454,51,3,0,3,0,74,0,0,0,5,1,1,0,2,0,2,0,0,0,0,0,14553,15,1,1,0,0,0,0,5,5,0,0,74,0,0,0,3,0,3,0,2,0,0,0,0,0,0,0,14484,74,4,2,14545,14475,177,1,1056,132,13,7,345,13,108,2,48,0,1,0,1,1,0,0,88,56,3,3,91,57,44,10,2,2,2,2,9,0,9,0,1,1,0,0,119,0,0,0,0,0,0,0,0,0,0,0
DU-6404-10A-01D-A461,337367648,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25550,1,0,0,24249,24872,0,0,14,11,0,0,162,19,2,2,0,0,0,0,0,0,0,0,12,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU-6405-10A-01D-1703,223498226,51,0,0,0,0,154,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,16111,17,2,1,0,0,0,0,14,14,0,0,154,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16079,93,8,3,16106,16011,223,2,1152,148,17,11,365,17,105,3,44,0,0,0,1,1,1,1,94,63,0,0,85,55,35,6,1,1,1,1,6,0,6,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
DU-6407-10A-01D-1705,482228638,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21233,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21319,7,0,0,21288,21333,0,0,152,154,0,0,485,38,1,1,0,0,0,0,0,0,0,0,920,935,0,0,56,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU-6408-10A-01D-1703,219888564,51,2,0,2,0,76,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16377,16,4,2,0,0,0,0,15,15,0,0,76,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,16332,90,6,2,16361,16281,205,3,1212,144,12,8,359,27,94,4,48,0,1,0,1,1,0,0,113,87,1,1,100,72,36,8,2,1,2,1,1,0,1,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0
DU-6542-10A-01D-1891,50113416,51,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3750,12,1,0,3756,3742,9,0,129,31,3,2,98,2,33,0,7,1,1,1,0,0,0,0,53,44,0,0,14,13,1,0,2,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
DU-7006-10A-01D-2022,172821592,51,2,0,2,0,38,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11564,15,1,1,0,0,0,0,6,6,0,0,38,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,11548,51,1,1,11582,11529,96,0,645,101,7,5,228,9,42,3,36,0,0,0,0,0,0,0,66,55,7,7,48,39,13,3,8,7,8,7,2,0,2,0,0,0,0,0,52,0,0,0,0,0,0,0,1,0,1,0
DU-7007-10A-01D-2022,178684464,51,1,0,1,0,41,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,14256,21,2,1,0,0,0,0,4,4,0,0,41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,14230,61,3,0,14281,14244,150,1,799,101,7,4,204,4,34,3,28,0,0,0,0,0,0,0,81,65,0,0,62,57,13,8,0,0,0,0,1,0,1,0,1,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0
DU-7008-10A-01D-2022,170273182,51,2,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14964,10,0,0,0,0,0,0,2,2,0,0,45,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,14967,56,3,0,15016,14959,151,1,654,108,10,8,251,9,51,0,32,0,1,0,0,0,0,0,83,59,0,0,45,40,8,4,0,0,0,0,1,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0,1,0
DU-7009-10A-01D-2024,519391579,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32040,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32222,44,0,0,32156,32188,0,0,149,142,1,1,467,42,2,2,0,0,0,0,0,0,0,0,2127,2146,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU-7010-10A-01D-2022,156316723,51,0,0,0,0,48,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,11479,6,1,0,0,0,0,0,6,6,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11487,51,2,1,11484,11459,102,1,640,80,7,7,312,6,130,0,26,0,0,0,1,1,0,0,50,33,0,0,55,42,18,6,0,0,0,0,1,0,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
DU-7013-10A-01D-A461,349912048,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20852,0,0,0,19606,20186,0,0,18,19,0,0,101,23,1,1,0,0,0,0,0,0,0,0,5,6,0,0,10,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DU-7018-10A-01D-2022,168010252,51,0,0,0,0,38,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,10525,17,1,1,0,0,0,0,2,2,0,0,38,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,10484,53,7,3,10432,10390,99,0,684,105,9,4,242,18,54,2,24,0,0,0,0,0,0,0,70,52,5,4,51,43,13,5,4,4,4,4,2,0,2,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
