  ,Paired Raw R1 Read Count,Trimmed R1 Read Count,Trimmed % R1 Read Count
SRR1316392,60619973,57161217,94.29
SRR1316535,52219757,49762427,95.29
SRR1316624,37479445,33828313,90.25
SRR1316815,49182611,46265928,94.06
SRR1316874,68589158,65457508,95.43
SRR1316921,53521210,50010074,93.43
SRR1316940,70832020,67428843,95.19
SRR1316963,56989516,53218273,93.38
SRR1317323,34360625,31963446,93.02
SRR1317344,42502607,38293785,90.09
SRR1317494,40401301,37058859,91.72
SRR1317596,50298380,46881042,93.20
SRR1317808,40794556,36304523,88.99
SRR1317853,44297338,39499477,89.16
SRR1317877,58304283,55823237,95.74
SRR1318067,40647203,38115182,93.77
SRR1318163,35838695,33546255,93.60
SRR1318372,43977404,41475336,94.31
SRR1318407,36699804,32506580,88.57
SRR1318426,56821531,52713105,92.76
SRR1319019,37233917,33200319,89.16
SRR1319136,45529770,41097616,90.26
SRR1319158,42706276,38047689,89.09
SRR1319539,39365399,35081089,89.11
SRR1319672,39360009,34842541,88.52
SRR1319816,52874357,50424294,95.36
SRR1319837,38674422,34956020,90.38
SRR1319970,42862298,37309454,87.04
SRR1320012,43504526,34303652,78.85
SRR1320071,48635366,38209746,78.56
SRR1320093,32056334,29844036,93.09
SRR1320115,42720316,39123201,91.57
SRR1320180,61900047,54576364,88.16
SRR1320280,37605446,34965583,92.98
SRR1320342,42062419,38097827,90.57
SRR1320560,42121487,40295618,95.66
SRR1320873,44568156,40636633,91.17
SRR1320892,47595808,42752235,89.82
SRR1320916,37215228,32478520,87.27
SRR1320963,42254492,37862016,89.60
SRR1321046,47039133,43041107,91.50
SRR1321183,58540235,56002316,95.66
SRR1321244,47605406,41374197,86.91
SRR1321462,33736915,30682512,90.94
SRR1321552,52969149,48842738,92.20
SRR1321674,37548160,33507128,89.23
SRR1321786,67671343,63937151,94.48
SRR1321853,43419396,38190150,87.95
SRR1321966,70532762,67658885,95.92
SRR1322010,48528549,45460231,93.67
SRR1322163,51356732,40906514,79.65
SRR1322270,54755106,52272861,95.46
SRR1322291,46997865,44137516,93.91
SRR1322419,35186355,29684398,84.36
SRR1322456,52353108,50122972,95.74
SRR1322555,44454830,41604664,93.58
SRR1322768,37844827,29001040,76.63
SRR1323043,49962124,43900588,87.86
SRR1323106,48135212,43650548,90.68
SRR1323130,61276787,57772587,94.28
SRR1323174,59438262,56024862,94.25
SRR1323196,37072415,33675228,90.83
SRR1323536,39359933,35629984,90.52
SRR1323603,43578750,40585873,93.13
SRR1323746,44072414,41954610,95.19
SRR1323764,46975127,41779314,88.93
SRR1323807,53958537,50821710,94.18
