id	filename	md5	size	state
009aee2f-ccc2-4baf-ac79-a96b51f3dd5f	009aee2f-ccc2-4baf-ac79-a96b51f3dd5f.vcf	ed2eab26922bb22a0d905bf9461ec9b5	226841	validated
009ea3f3-222e-489e-b3c6-086bdfeb1ef7	009ea3f3-222e-489e-b3c6-086bdfeb1ef7.vep.vcf.gz	185e245ad4c964538c9726affc6744b5	2032546	validated
00a6be9f-b79e-42e3-a811-025ab33477ce	00a6be9f-b79e-42e3-a811-025ab33477ce.vcf.gz	e12c22dbb41a6178567526c113c0616e	42771	validated
00a95ec8-7764-4d91-9abf-ff7bc42508ab	00a95ec8-7764-4d91-9abf-ff7bc42508ab.vep.vcf.gz	131c21dc90ad86200ff4491716b8b9c0	103283	validated
00a96eec-34cb-49e0-9523-0c58c110f805	00a96eec-34cb-49e0-9523-0c58c110f805.vcf.gz	5cb55fa6bec8fb15f1c645a4217e5a9f	86346	validated
00c23533-660b-4a2e-abcc-498515261b83	00c23533-660b-4a2e-abcc-498515261b83.vcf.gz	ca135bc858caa7126862939c29ef877c	68222	validated
00c49f14-dba7-4d09-a7ea-d011558409c3	00c49f14-dba7-4d09-a7ea-d011558409c3.vcf.gz	047eb5f8e404b4d8b7cbbec4e77404e2	28642	validated
00c799b3-000b-413d-92a4-cbf4f71df11d	00c799b3-000b-413d-92a4-cbf4f71df11d.vcf.gz	17cd29019dca7fd0d568563dc6215fd7	34871	validated
00c8b659-5862-425e-9a6c-3c18102bee1d	00c8b659-5862-425e-9a6c-3c18102bee1d.vep.vcf.gz	c52c4654fae3118c06eaee2e89d4a786	3013850	validated
00d05d4b-a826-4361-b623-a73554433c30	00d05d4b-a826-4361-b623-a73554433c30.vep.vcf.gz	6f6de1d31f5578498c07b62b36ce7d7b	225897	validated
00d5b92b-72a2-4207-9959-5a2529ebc889	00d5b92b-72a2-4207-9959-5a2529ebc889.vcf.gz	8bf58c0832f8241c7ccf39333fa5d1ce	28225	validated
00d851a1-be4f-4c29-bbff-8231dfef0eaa	00d851a1-be4f-4c29-bbff-8231dfef0eaa.vep.vcf.gz	ea37c8af15a91eda4fce4ca2c6224840	128523	validated
00dabd25-6635-4b40-9324-acebed342ba9	00dabd25-6635-4b40-9324-acebed342ba9.vep.vcf.gz	7cd634542d54884b9415fc19bb79107b	76977	validated
00dade67-a6cf-447d-b61e-0b52a678e7d5	00dade67-a6cf-447d-b61e-0b52a678e7d5.vcf.gz	c6682cc6f007aca250f8798fb8187712	36549	validated
00e50636-03f4-4c3d-8126-a27ca42728dd	00e50636-03f4-4c3d-8126-a27ca42728dd.vep.vcf.gz	4f0412620bcce3c07811f48554cb7d02	129202	validated
00e9f463-4bfc-49f2-97ed-4d07772e12a1	00e9f463-4bfc-49f2-97ed-4d07772e12a1.vep.vcf.gz	c73c9dd78acf172f03fb3bbe34fc664d	256384	validated
00f1c061-90ac-4c01-a3a8-eeee9c3d4a05	00f1c061-90ac-4c01-a3a8-eeee9c3d4a05.vcf	15bee149c8c226a167768c7a2bd035ff	809232	validated
0100503a-0a38-434f-9e99-096b07c7bd05	0100503a-0a38-434f-9e99-096b07c7bd05.vep.vcf.gz	1737960f31c0018a8436644144208ca0	1107259	validated
01080904-26c8-4022-99d3-63da285451df	01080904-26c8-4022-99d3-63da285451df.vcf.gz	16bf7493f2113660601f104d5712fed5	28650	validated
0112de2a-57d4-481e-ad04-3c3faa64d078	0112de2a-57d4-481e-ad04-3c3faa64d078.vep.vcf.gz	ecc17a50b2b34d363bdcbb6cad6ccc7e	671547	validated
011986ee-c7e1-4705-bdb6-103f65e9a3c2	011986ee-c7e1-4705-bdb6-103f65e9a3c2.vep.vcf.gz	96618246c816fb131d24feaf2b18c7ab	3367566	validated
011f756d-7244-4b2b-8f38-d0daa56d145f	011f756d-7244-4b2b-8f38-d0daa56d145f.vep.vcf.gz	9b0828b02f800b09fb2730efb2163c53	154641	validated
